month,n_observations,n_wells
1901-01,1,1
1925-05,1,1
1925-06,1,1
1925-07,1,1
1925-08,1,1
1925-09,1,1
1925-10,1,1
1926-01,1,1
1926-05,2,1
1926-06,2,1
1926-07,1,1
1926-08,2,1
1926-09,4,1
1927-03,1,1
1927-04,1,1
1927-05,2,1
1927-07,1,1
1927-08,2,1
1927-09,2,1
1927-11,1,1
1927-12,1,1
1928-02,1,1
1928-03,1,1
1928-04,1,1
1928-05,1,1
1928-06,1,1
1928-07,2,2
1928-08,1,1
1928-09,1,1
1928-10,1,1
1928-11,1,1
1928-12,1,1
1929-01,1,1
1929-02,1,1
1929-05,2,2
1929-06,2,2
1929-07,1,1
1929-08,1,1
1929-09,1,1
1929-10,1,1
1929-11,2,1
1929-12,1,1
1930-01,2,2
1930-02,1,1
1930-03,1,1
1930-04,1,1
1930-05,4,3
1930-06,2,2
1930-07,3,2
1930-08,1,1
1930-09,3,3
1930-10,3,3
1930-11,2,2
1930-12,2,2
1931-01,2,2
1931-02,4,4
1931-03,4,3
1931-04,3,2
1931-05,3,3
1931-06,2,2
1931-07,4,4
1931-08,2,2
1931-09,3,3
1931-10,3,3
1931-11,3,3
1931-12,2,2
1932-01,4,3
1932-02,2,2
1932-03,3,3
1932-04,2,2
1932-05,3,3
1932-06,3,3
1932-07,4,4
1932-08,5,4
1932-09,5,5
1932-10,3,3
1932-11,5,5
1932-12,4,4
1933-01,5,5
1933-02,7,6
1933-03,6,5
1933-04,4,3
1933-05,4,4
1933-06,4,3
1933-07,8,5
1933-08,10,6
1933-09,12,6
1933-10,8,4
1933-11,8,4
1933-12,8,4
1934-01,7,4
1934-02,7,3
1934-03,11,4
1934-04,4,2
1934-05,4,3
1934-06,5,3
1934-07,3,2
1934-08,9,4
1934-09,8,4
1934-10,7,3
1934-11,8,3
1934-12,8,3
1935-01,5,4
1935-02,10,5
1935-03,8,4
1935-04,10,4
1935-05,10,5
1935-06,11,4
1935-07,9,4
1935-08,10,5
1935-09,9,5
1935-10,8,4
1935-11,6,4
1935-12,10,4
1936-01,7,4
1936-02,7,4
1936-03,9,4
1936-04,10,4
1936-05,10,3
1936-06,11,4
1936-07,9,3
1936-08,9,3
1936-09,7,3
1936-10,6,1
1936-11,6,3
1936-12,7,3
1937-01,8,4
1937-02,8,4
1937-03,10,3
1937-04,12,5
1937-05,13,5
1937-06,11,5
1937-07,9,5
1937-08,6,4
1937-09,8,4
1937-10,10,4
1937-11,10,5
1937-12,11,4
1938-01,10,5
1938-02,10,5
1938-03,8,5
1938-04,12,5
1938-05,11,5
1938-06,10,5
1938-07,10,5
1938-08,11,5
1938-09,11,6
1938-10,12,6
1938-11,16,6
1938-12,14,5
1939-01,8,6
1939-02,7,6
1939-03,7,6
1939-04,6,6
1939-05,7,6
1939-06,7,6
1939-07,6,5
1939-08,8,6
1939-09,3,2
1939-10,7,6
1939-11,7,6
1939-12,6,5
1940-01,7,6
1940-02,6,6
1940-03,7,6
1940-04,7,6
1940-05,7,6
1940-06,7,6
1940-07,8,6
1940-08,7,5
1940-09,7,5
1940-10,4,3
1940-11,5,5
1940-12,6,4
1941-01,6,5
1941-02,6,5
1941-03,6,5
1941-04,6,5
1941-05,6,5
1941-06,6,5
1941-07,6,5
1941-08,6,5
1941-09,6,5
1941-10,6,5
1941-11,6,5
1941-12,6,5
1942-01,6,5
1942-02,5,5
1942-03,7,5
1942-04,6,5
1942-05,6,5
1942-06,6,5
1942-07,7,5
1942-08,6,5
1942-09,5,4
1942-10,6,5
1942-11,6,5
1942-12,6,5
1943-01,7,6
1943-02,7,6
1943-03,7,6
1943-04,7,6
1943-05,7,6
1943-06,7,5
1943-07,6,6
1943-08,7,6
1943-09,6,5
1943-10,8,6
1943-11,7,6
1943-12,7,6
1944-01,7,6
1944-02,7,6
1944-03,7,6
1944-04,7,6
1944-05,8,6
1944-06,6,5
1944-07,7,5
1944-08,7,6
1944-09,6,5
1944-10,7,6
1944-11,6,6
1944-12,6,6
1945-01,6,6
1945-02,7,6
1945-03,7,6
1945-04,7,6
1945-05,7,6
1945-06,7,6
1945-07,7,6
1945-08,6,6
1945-09,6,6
1945-10,6,6
1945-11,5,5
1945-12,4,4
1946-01,7,6
