start_year,end_year,n_wells_observed_each_year,window_years
1901,1910,0,10
1902,1911,0,10
1903,1912,0,10
1904,1913,0,10
1905,1914,0,10
1906,1915,0,10
1907,1916,0,10
1908,1917,0,10
1909,1918,0,10
1910,1919,0,10
1911,1920,0,10
1912,1921,0,10
1913,1922,0,10
1914,1923,0,10
1915,1924,0,10
1916,1925,0,10
1917,1926,0,10
1918,1927,0,10
1919,1928,0,10
1920,1929,0,10
1921,1930,0,10
1922,1931,0,10
1923,1932,0,10
1924,1933,0,10
1925,1934,0,10
1926,1935,0,10
1927,1936,0,10
1928,1937,0,10
1929,1938,1,10
1930,1939,2,10
1931,1940,3,10
1932,1941,3,10
1933,1942,3,10
1934,1943,3,10
1935,1944,3,10
1936,1945,3,10
1937,1946,4,10
1938,1947,5,10
1939,1948,4,10
1940,1949,4,10
1941,1950,4,10
1942,1951,4,10
1943,1952,5,10
1944,1953,5,10
1945,1954,5,10
1946,1955,5,10
1947,1956,5,10
1948,1957,5,10
1949,1958,5,10
1950,1959,5,10
1951,1960,6,10
1952,1961,6,10
1953,1962,5,10
1954,1963,5,10
1955,1964,5,10
1956,1965,7,10
1957,1966,7,10
1958,1967,7,10
1959,1968,7,10
1960,1969,7,10
1961,1970,7,10
1962,1971,7,10
1963,1972,7,10
1964,1973,7,10
1965,1974,6,10
1966,1975,6,10
1967,1976,6,10
1968,1977,11,10
1969,1978,29,10
1970,1979,30,10
1971,1980,45,10
1972,1981,48,10
1973,1982,47,10
1974,1983,49,10
1975,1984,56,10
1976,1985,57,10
1977,1986,54,10
1978,1987,31,10
1979,1988,31,10
1980,1989,32,10
1981,1990,32,10
1982,1991,32,10
1983,1992,33,10
1984,1993,39,10
1985,1994,38,10
1986,1995,37,10
1987,1996,35,10
1988,1997,48,10
1989,1998,53,10
1990,1999,85,10
1991,2000,120,10
1992,2001,122,10
1993,2002,124,10
1994,2003,132,10
1995,2004,130,10
1996,2005,128,10
1997,2006,123,10
1998,2007,129,10
1999,2008,133,10
2000,2009,144,10
2001,2010,146,10
2002,2011,75,10
2003,2012,78,10
2004,2013,78,10
2005,2014,79,10
2006,2015,80,10
2007,2016,80,10
2008,2017,78,10
2009,2018,78,10
2010,2019,78,10
2011,2020,78,10
2012,2021,78,10
2013,2022,76,10
2014,2023,75,10
2015,2024,75,10
2016,2025,71,10
2017,2026,69,10
