site_code,measurement_datetime,reporting_organization,collecting_organization,dwr_source,usable_head,independence_class,rationale,count_as_distinct_sensor_record,do_not_duplicate_against_ocwd
336555N1176965W001,2026-04-29 11:00:00,Orange County Water District - 8-001,Orange County Water District - 8-001,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336555N1176965W001,2026-03-26 11:15:00,Orange County Water District - 8-001,Orange County Water District - 8-001,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336555N1176965W001,2026-02-25 15:20:00,Orange County Water District - 8-001,Orange County Water District - 8-001,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336555N1176965W001,2026-01-27 14:00:00,Orange County Water District - 8-001,Orange County Water District - 8-001,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336555N1176965W001,2025-10-22 12:45:00,Orange County Water District - 8-001,Orange County Water District - 8-001,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336555N1176965W001,2025-09-24 09:00:00,Orange County Water District - 8-001,Orange County Water District - 8-001,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336555N1176965W001,2025-08-20 09:50:00,Orange County Water District - 8-001,Orange County Water District - 8-001,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336555N1176965W001,2025-07-22 09:47:00,Orange County Water District - 8-001,Orange County Water District - 8-001,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336555N1176965W001,2025-06-24 15:35:00,Orange County Water District - 8-001,Orange County Water District - 8-001,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336555N1176965W001,2025-03-26 10:30:00,Orange County Water District - 8-001,Orange County Water District - 8-001,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336555N1176965W001,2025-02-26 10:40:00,Orange County Water District - 8-001,Orange County Water District - 8-001,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336555N1176965W001,2025-01-28 09:15:00,Orange County Water District - 8-001,Orange County Water District - 8-001,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
