facility_or_system,calculated_percolation_af,reported_remarks,month,measurement_class,source_file,pdf_page,pdf_table,extraction_method,visual_spot_check
River System,4600,Average percolation of 74 cfs,2009-07,DERIVED_FROM_MEASUREMENTS,data/raw/ocwd/groundwater_recharge_report_2009_2010.pdf,83,Forebay Percolation Efficiency Report,native PDF text plus visual spot-check against rendered page,PASS
Desilting System,87,estimated based on observations,2009-07,DERIVED_FROM_MEASUREMENTS,data/raw/ocwd/groundwater_recharge_report_2009_2010.pdf,83,Forebay Percolation Efficiency Report,native PDF text plus visual spot-check against rendered page,PASS
Off-River System,250,includes Olive Pit,2009-07,DERIVED_FROM_MEASUREMENTS,data/raw/ocwd/groundwater_recharge_report_2009_2010.pdf,83,Forebay Percolation Efficiency Report,native PDF text plus visual spot-check against rendered page,PASS
Warner System,621,includes Foster-Huckleberry and Conrock basins,2009-07,DERIVED_FROM_MEASUREMENTS,data/raw/ocwd/groundwater_recharge_report_2009_2010.pdf,83,Forebay Percolation Efficiency Report,native PDF text plus visual spot-check against rendered page,PASS
Anaheim Lake,2112,inflow from MWD OC-28 and Warner Basin,2009-07,DERIVED_FROM_MEASUREMENTS,data/raw/ocwd/groundwater_recharge_report_2009_2010.pdf,83,Forebay Percolation Efficiency Report,native PDF text plus visual spot-check against rendered page,PASS
Mini-Anaheim Lake,43,all inflow from MWD OC-28,2009-07,DERIVED_FROM_MEASUREMENTS,data/raw/ocwd/groundwater_recharge_report_2009_2010.pdf,83,Forebay Percolation Efficiency Report,native PDF text plus visual spot-check against rendered page,PASS
Kraemer Basin,1626,inflow from MWD OC-28 and GWRS,2009-07,DERIVED_FROM_MEASUREMENTS,data/raw/ocwd/groundwater_recharge_report_2009_2010.pdf,83,Forebay Percolation Efficiency Report,native PDF text plus visual spot-check against rendered page,PASS
Miller Basin,1798,all inflow from GWRS,2009-07,DERIVED_FROM_MEASUREMENTS,data/raw/ocwd/groundwater_recharge_report_2009_2010.pdf,83,Forebay Percolation Efficiency Report,native PDF text plus visual spot-check against rendered page,PASS
La Jolla Basin,0,no inflow,2009-07,DERIVED_FROM_MEASUREMENTS,data/raw/ocwd/groundwater_recharge_report_2009_2010.pdf,83,Forebay Percolation Efficiency Report,native PDF text plus visual spot-check against rendered page,PASS
Placentia Basin,0,not in use,2009-07,DERIVED_FROM_MEASUREMENTS,data/raw/ocwd/groundwater_recharge_report_2009_2010.pdf,83,Forebay Percolation Efficiency Report,native PDF text plus visual spot-check against rendered page,PASS
Raymond Basin,40,no inflow,2009-07,DERIVED_FROM_MEASUREMENTS,data/raw/ocwd/groundwater_recharge_report_2009_2010.pdf,83,Forebay Percolation Efficiency Report,native PDF text plus visual spot-check against rendered page,PASS
Five Coves Basin,0,empty,2009-07,DERIVED_FROM_MEASUREMENTS,data/raw/ocwd/groundwater_recharge_report_2009_2010.pdf,83,Forebay Percolation Efficiency Report,native PDF text plus visual spot-check against rendered page,PASS
Burris Basin,61,no inflow,2009-07,DERIVED_FROM_MEASUREMENTS,data/raw/ocwd/groundwater_recharge_report_2009_2010.pdf,83,Forebay Percolation Efficiency Report,native PDF text plus visual spot-check against rendered page,PASS
River View Basin,0,not in use,2009-07,DERIVED_FROM_MEASUREMENTS,data/raw/ocwd/groundwater_recharge_report_2009_2010.pdf,83,Forebay Percolation Efficiency Report,native PDF text plus visual spot-check against rendered page,PASS
Santiago Basins,1335,no inflow; recharge of stored water,2009-07,DERIVED_FROM_MEASUREMENTS,data/raw/ocwd/groundwater_recharge_report_2009_2010.pdf,83,Forebay Percolation Efficiency Report,native PDF text plus visual spot-check against rendered page,PASS
Santiago Creek,0,not in use,2009-07,DERIVED_FROM_MEASUREMENTS,data/raw/ocwd/groundwater_recharge_report_2009_2010.pdf,83,Forebay Percolation Efficiency Report,native PDF text plus visual spot-check against rendered page,PASS
