month,average_daily_injection_mgd,total_injection_mg,total_injection_af,backwash_mg,backwash_af,facility_scope,measurement_class,source_file,pdf_page,pdf_table,caveat
2023-01,6.26,193.92,595.11,1.68,5.17,combined MBI-1 through MBI-5 project,REPORTED_MEASURED,data/raw/ocwd/gwrs_annual_report_2023.pdf,202,Table 7-2,"Public table is project-total, not monthly injection by individual well."
2023-02,6.52,182.52,560.12,1.7,5.21,combined MBI-1 through MBI-5 project,REPORTED_MEASURED,data/raw/ocwd/gwrs_annual_report_2023.pdf,202,Table 7-2,"Public table is project-total, not monthly injection by individual well."
2023-03,5.86,181.7,557.62,1.84,5.66,combined MBI-1 through MBI-5 project,REPORTED_MEASURED,data/raw/ocwd/gwrs_annual_report_2023.pdf,202,Table 7-2,"Public table is project-total, not monthly injection by individual well."
2023-04,6.33,189.75,582.32,1.29,3.97,combined MBI-1 through MBI-5 project,REPORTED_MEASURED,data/raw/ocwd/gwrs_annual_report_2023.pdf,202,Table 7-2,"Public table is project-total, not monthly injection by individual well."
2023-05,6.82,211.4,648.76,1.46,4.47,combined MBI-1 through MBI-5 project,REPORTED_MEASURED,data/raw/ocwd/gwrs_annual_report_2023.pdf,202,Table 7-2,"Public table is project-total, not monthly injection by individual well."
2023-06,6.97,209.0,641.4,1.29,3.96,combined MBI-1 through MBI-5 project,REPORTED_MEASURED,data/raw/ocwd/gwrs_annual_report_2023.pdf,202,Table 7-2,"Public table is project-total, not monthly injection by individual well."
2023-07,7.04,218.21,669.66,1.28,3.93,combined MBI-1 through MBI-5 project,REPORTED_MEASURED,data/raw/ocwd/gwrs_annual_report_2023.pdf,202,Table 7-2,"Public table is project-total, not monthly injection by individual well."
2023-08,5.49,170.04,521.83,2.11,6.48,combined MBI-1 through MBI-5 project,REPORTED_MEASURED,data/raw/ocwd/gwrs_annual_report_2023.pdf,202,Table 7-2,"Public table is project-total, not monthly injection by individual well."
2023-09,7.15,214.59,658.55,1.36,4.18,combined MBI-1 through MBI-5 project,REPORTED_MEASURED,data/raw/ocwd/gwrs_annual_report_2023.pdf,202,Table 7-2,"Public table is project-total, not monthly injection by individual well."
2023-10,6.98,216.42,664.17,1.29,3.95,combined MBI-1 through MBI-5 project,REPORTED_MEASURED,data/raw/ocwd/gwrs_annual_report_2023.pdf,202,Table 7-2,"Public table is project-total, not monthly injection by individual well."
2023-11,7.26,217.81,668.43,1.49,4.58,combined MBI-1 through MBI-5 project,REPORTED_MEASURED,data/raw/ocwd/gwrs_annual_report_2023.pdf,202,Table 7-2,"Public table is project-total, not monthly injection by individual well."
2023-12,6.13,190.0,583.09,1.32,4.04,combined MBI-1 through MBI-5 project,REPORTED_MEASURED,data/raw/ocwd/gwrs_annual_report_2023.pdf,202,Table 7-2,"Public table is project-total, not monthly injection by individual well."
