report_month,field,monthly_value,unit,measurement_class,source_file,pdf_page,pdf_table_or_section,extraction_method,independent_validation_allowed,caveat
2025-07,Water Purchases from MWD (excludes In Lieu),0.0,acre-feet,REPORTED_MEASURED,data/raw/ocwd/water_resources_report_2025_07.pdf,1,WATER RESOURCES SUMMARY — INFLOWS & OUTFLOWS / OTHER KEY INFORMATION,native PDF text; first monthly value after published field label,True,"Preliminary report; total/accounting fields can include measured, calculated, and estimated components."
2025-07,SAR & Santiago Creek Flows,6442.0,acre-feet,DERIVED_FROM_MEASUREMENTS,data/raw/ocwd/water_resources_report_2025_07.pdf,1,WATER RESOURCES SUMMARY — INFLOWS & OUTFLOWS / OTHER KEY INFORMATION,native PDF text; first monthly value after published field label,True,"Preliminary report; total/accounting fields can include measured, calculated, and estimated components."
2025-07,GWRS Water to Forebay,8464.0,acre-feet,REPORTED_MEASURED,data/raw/ocwd/water_resources_report_2025_07.pdf,1,WATER RESOURCES SUMMARY — INFLOWS & OUTFLOWS / OTHER KEY INFORMATION,native PDF text; first monthly value after published field label,True,"Preliminary report; total/accounting fields can include measured, calculated, and estimated components."
2025-07,GWRS Water to Mid-Basin Injection Wells,550.0,acre-feet,REPORTED_MEASURED,data/raw/ocwd/water_resources_report_2025_07.pdf,1,WATER RESOURCES SUMMARY — INFLOWS & OUTFLOWS / OTHER KEY INFORMATION,native PDF text; first monthly value after published field label,True,"Preliminary report; total/accounting fields can include measured, calculated, and estimated components."
2025-07,GWRS Water to Talbert Barrier,1505.0,acre-feet,REPORTED_MEASURED,data/raw/ocwd/water_resources_report_2025_07.pdf,1,WATER RESOURCES SUMMARY — INFLOWS & OUTFLOWS / OTHER KEY INFORMATION,native PDF text; first monthly value after published field label,True,"Preliminary report; total/accounting fields can include measured, calculated, and estimated components."
2025-07,Alamitos Barrier Water,221.0,acre-feet,REPORTED_MEASURED,data/raw/ocwd/water_resources_report_2025_07.pdf,1,WATER RESOURCES SUMMARY — INFLOWS & OUTFLOWS / OTHER KEY INFORMATION,native PDF text; first monthly value after published field label,True,"Preliminary report; total/accounting fields can include measured, calculated, and estimated components."
2025-07,Incidental Recharge (estimated),1200.0,acre-feet,ESTIMATED,data/raw/ocwd/water_resources_report_2025_07.pdf,1,WATER RESOURCES SUMMARY — INFLOWS & OUTFLOWS / OTHER KEY INFORMATION,native PDF text; first monthly value after published field label,True,"Preliminary report; total/accounting fields can include measured, calculated, and estimated components."
2025-07,Evaporation from Recharge Basins,-344.0,acre-feet,ESTIMATED,data/raw/ocwd/water_resources_report_2025_07.pdf,1,WATER RESOURCES SUMMARY — INFLOWS & OUTFLOWS / OTHER KEY INFORMATION,native PDF text; first monthly value after published field label,True,"Preliminary report; total/accounting fields can include measured, calculated, and estimated components."
2025-07,Total Groundwater Recharge,18037.0,acre-feet,DERIVED_FROM_MEASUREMENTS,data/raw/ocwd/water_resources_report_2025_07.pdf,1,WATER RESOURCES SUMMARY — INFLOWS & OUTFLOWS / OTHER KEY INFORMATION,native PDF text; first monthly value after published field label,True,"Preliminary report; total/accounting fields can include measured, calculated, and estimated components."
2025-07,GROUNDWATER PRODUCTION,27490.0,acre-feet,REPORTED_MEASURED,data/raw/ocwd/water_resources_report_2025_07.pdf,1,WATER RESOURCES SUMMARY — INFLOWS & OUTFLOWS / OTHER KEY INFORMATION,native PDF text; first monthly value after published field label,True,"Preliminary report; total/accounting fields can include measured, calculated, and estimated components."
2025-07,Change in Groundwater Storage,-9453.0,acre-feet,DERIVED_FROM_MEASUREMENTS,data/raw/ocwd/water_resources_report_2025_07.pdf,1,WATER RESOURCES SUMMARY — INFLOWS & OUTFLOWS / OTHER KEY INFORMATION,native PDF text; first monthly value after published field label,False,"Preliminary report; total/accounting fields can include measured, calculated, and estimated components."
2025-07,Month-End Water Storage in Recharge Facilities,8559.0,acre-feet,DERIVED_FROM_MEASUREMENTS,data/raw/ocwd/water_resources_report_2025_07.pdf,1,WATER RESOURCES SUMMARY — INFLOWS & OUTFLOWS / OTHER KEY INFORMATION,native PDF text; first monthly value after published field label,True,"Preliminary report; total/accounting fields can include measured, calculated, and estimated components."
2025-07,Water Storage Change in Recharge Facilities,-1580.0,acre-feet,DERIVED_FROM_MEASUREMENTS,data/raw/ocwd/water_resources_report_2025_07.pdf,1,WATER RESOURCES SUMMARY — INFLOWS & OUTFLOWS / OTHER KEY INFORMATION,native PDF text; first monthly value after published field label,False,"Preliminary report; total/accounting fields can include measured, calculated, and estimated components."
2025-07,Total Artificial Recharge,16838.0,acre-feet,DERIVED_FROM_MEASUREMENTS,data/raw/ocwd/water_resources_report_2025_07.pdf,1,WATER RESOURCES SUMMARY — INFLOWS & OUTFLOWS / OTHER KEY INFORMATION,native PDF text; first monthly value after published field label,True,"Preliminary report; total/accounting fields can include measured, calculated, and estimated components."
2026-01,Water Purchases from MWD (excludes In Lieu),0.0,acre-feet,REPORTED_MEASURED,data/raw/ocwd/water_resources_report_2026_01.pdf,1,WATER RESOURCES SUMMARY — INFLOWS & OUTFLOWS / OTHER KEY INFORMATION,native PDF text; first monthly value after published field label,True,"Preliminary report; total/accounting fields can include measured, calculated, and estimated components."
2026-01,SAR & Santiago Creek Flows,22949.0,acre-feet,DERIVED_FROM_MEASUREMENTS,data/raw/ocwd/water_resources_report_2026_01.pdf,1,WATER RESOURCES SUMMARY — INFLOWS & OUTFLOWS / OTHER KEY INFORMATION,native PDF text; first monthly value after published field label,True,"Preliminary report; total/accounting fields can include measured, calculated, and estimated components."
2026-01,GWRS Water to Forebay,7739.0,acre-feet,REPORTED_MEASURED,data/raw/ocwd/water_resources_report_2026_01.pdf,1,WATER RESOURCES SUMMARY — INFLOWS & OUTFLOWS / OTHER KEY INFORMATION,native PDF text; first monthly value after published field label,True,"Preliminary report; total/accounting fields can include measured, calculated, and estimated components."
2026-01,GWRS Water to Mid-Basin Injection Wells,543.0,acre-feet,REPORTED_MEASURED,data/raw/ocwd/water_resources_report_2026_01.pdf,1,WATER RESOURCES SUMMARY — INFLOWS & OUTFLOWS / OTHER KEY INFORMATION,native PDF text; first monthly value after published field label,True,"Preliminary report; total/accounting fields can include measured, calculated, and estimated components."
