source_id,agency,title,source_type,official_url,accessed_at,temporal_coverage,spatial_resolution,temporal_resolution,raw_machine_readable,measurement_class,intended_use,validation_use,limitations,sha256
CA_SGMA_8_001_PORTAL,California Department of Water Resources,California DWR SGMA Portal,portal_page,https://sgma.water.ca.gov/portal/alternative/periodiceval/preview/10,2026-09-04T01:55:57.104789+00:00,alternative review period,Basin 8-001,plan/review,true,REFERENCE_MODEL,management-plan provenance,scope confirmation,management assessment is not a groundwater observation,389645b347000ccc607714569936b08f2d26f2e78467d9a48535c7fa2c819d30
CLARK_ET_AL_2014_TRACER,Peer-reviewed study (OCWD and University of California authors),Investigation of Groundwater Flow Variations near a Recharge Pond with Repeat Deliberate Tracer Experiments,journal_pdf,https://mdpi-res.com/d_attachment/water/water-06-01826/article_deploy/water-06-01826.pdf,2026-09-04T01:51:45.628313+00:00,1998 and 2008 experiments,Kraemer Basin to wells,experiment,false,OBSERVED,repeat tracer travel quantities,future physical propagation validation,reported table values only; origin is not independent of OCWD participation,224fb4cb60db92c98f18de18760ea60e50b1b54fb69aa4c957d971a3d32c9541
DOE_OSTI_15013774_METADATA,U.S. Department of Energy / OSTI,LLNL Forebay isotope tracer report metadata,web_page,https://www.osti.gov/biblio/15013774,2026-09-04T01:50:39.439536+00:00,1995-2001 study,Forebay tracer network,experiment,true,OBSERVED,tracer provenance,independent physical propagation validation,"study observations are sparse experiments, not routine forcing/state time series",79b413c8329b81786cce2309b6a622921c3277006da1898004af8cb2ee70d947
DWR_B118_GEOJSON,California Department of Water Resources,Bulletin 118 California Groundwater Basins GeoJSON,geojson,https://gis.data.cnra.ca.gov/api/download/v1/items/49807a1fbc584631bdf88d9ca71dd083/geojson?layers=0,2026-09-04T01:48:16.701996+00:00,current official release,basin polygon,versioned release,true,REFERENCE_MODEL,select Basin 8-001 and spatially join stations,spatial coverage audit,CRS84 GeoJSON; boundary is an authoritative reference geometry,6ef98b660f7c81a900122fd3773c5d03fea70604161aded2d5b06e7c315dc097
DWR_B118_METADATA,California Department of Water Resources,Bulletin 118 California Groundwater Basins metadata,dataset_metadata,https://data.cnra.ca.gov/api/3/action/package_show?id=i08-b118-ca-groundwaterbasins,2026-09-04T01:46:13.654341+00:00,current official release,basin polygon,versioned release,true,REFERENCE_MODEL,boundary provenance,spatial inclusion audit,"official delineation, not a groundwater-state measurement",e76684fde144cd4f3127013437776d895befe63eb051115fd69655ff5ffa0e25
DWR_CONTINUOUS_METADATA,California Department of Water Resources,Continuous Groundwater Level Measurements metadata,dataset_metadata,https://data.cnra.ca.gov/api/3/action/package_show?id=continuous-groundwater-level-measurements,2026-09-04T01:46:13.776330+00:00,current official release,listed counties,15-minute to hourly source cadence,true,OBSERVED,geographic eligibility audit,negative-result guard,current county list excludes Orange County,304225d44ad02212f484900f4c57d3325d0c47aae40850915680ba9bf8c981f6
DWR_PERIODIC_BULK,California Department of Water Resources,Periodic Groundwater Level Measurements bulk tables,zip_csv,https://data.cnra.ca.gov/dataset/dd9b15f5-6d08-4d8c-bace-37dc761a9c08/resource/c51e0af9-5980-4aa3-8965-e9ea494ad468/download/periodic_gwl_bulkdatadownload.zip,2026-09-04T01:48:14.522061+00:00,1900-present,station,measurement timestamp,true,OBSERVED,Basin 8-001 head and station coverage,future held-out state observations,cooperating-agency observations require origin audit; QA varies,48b197bd5a600ce2847ed2469e656306ca2daad7c86962ba6e88eed0020ab817
DWR_PERIODIC_METADATA,California Department of Water Resources,Periodic Groundwater Level Measurements metadata,dataset_metadata,https://data.cnra.ca.gov/api/3/action/package_show?id=periodic-groundwater-level-measurements,2026-09-04T01:46:13.549322+00:00,1900-present (dataset statement),station,periodic; some daily/weekly/monthly,true,OBSERVED,source schema and provenance,independence and QA audit,metadata is not the measurement table,4a81c0593a215528e644266df91abb01a93823512b3d6beca1c89972dccb8e25
DWR_SGMA_FINDINGS,California Department of Water Resources,DWR Statement of Findings: Coastal Plain of Orange County Alternative,report_pdf,https://water.ca.gov/-/media/DWR-Website/Web-Pages/Programs/Groundwater-Management/Sustainable-Groundwater-Management/Alternatives/Files/10year/CoastalPlain/02_CoastalPlain_Statement_of_Findings.pdf,2026-09-04T01:55:58.080805+00:00,alternative review period,Basin 8-001,plan/review,false,REFERENCE_MODEL,management-plan provenance,scope confirmation,management assessment is not a groundwater observation,2903d49b59801b229ee623f4718746849e886f50b1b1774dd88c11722c9c4cc2
DWR_SGMA_STAFF_REPORT,California Department of Water Resources,DWR Alternative Assessment Staff Report,report_pdf,https://water.ca.gov/-/media/DWR-Website/Web-Pages/Programs/Groundwater-Management/Sustainable-Groundwater-Management/Alternatives/Files/10year/CoastalPlain/03_CoastalPlain_Staff_Report.pdf,2026-09-04T01:55:57.864766+00:00,alternative review period,Basin 8-001,plan/review,false,REFERENCE_MODEL,management-plan provenance,scope confirmation,management assessment is not a groundwater observation,ebfe6c87c8426e76580b210a5b3ceaaf77bebacb18f84cd2b968761559d3740e
