regime,cadence_group,model,n_transitions,n_wells,MAE_delta_h_ft,RMSE_delta_h_ft,bias_delta_h_ft,sign_accuracy_delta_h,delta_h_IQR_ft,note,B1_RMSE_delta_h_ft,B1_MAE_delta_h_ft,RMSE_skill_vs_B1,MAE_skill_vs_B1
T1_TEMPORAL_OOS,GT_45_LE_90,B1,388,105,8.766957609339304,15.840726422158495,-2.6265190928991333,0.7487046632124352,9.107499999999996,head-level residual equals delta-h residual conditional on observed h_prev,15.840726422158495,8.766957609339304,0.0,0.0
T1_TEMPORAL_OOS,GT_45_LE_90,B1C,388,105,8.427733392519094,15.134917460339116,-1.8250362179750566,0.8160621761658031,9.107499999999996,head-level residual equals delta-h residual conditional on observed h_prev,15.840726422158495,8.766957609339304,0.04455660321436217,0.03869349344849571
T1_TEMPORAL_OOS,GT_45_LE_90,B1CH,388,105,8.628299088363462,15.2911194592125,-2.4895322267808586,0.7772020725388601,9.107499999999996,head-level residual equals delta-h residual conditional on observed h_prev,15.840726422158495,8.766957609339304,0.03469581812720335,0.015816036435277292
T1_TEMPORAL_OOS,GT_90_LE_120,B1,28,19,10.234172306423904,17.320233156811984,-1.5878603614357636,0.7307692307692307,7.765000000000015,head-level residual equals delta-h residual conditional on observed h_prev,17.320233156811984,10.234172306423904,0.0,0.0
T1_TEMPORAL_OOS,GT_90_LE_120,B1C,28,19,10.000399998319214,15.232696553456174,2.187023250300856,0.7307692307692307,7.765000000000015,head-level residual equals delta-h residual conditional on observed h_prev,17.320233156811984,10.234172306423904,0.12052589503015954,0.022842326775947774
T1_TEMPORAL_OOS,GT_90_LE_120,B1CH,28,19,10.17231561626962,15.44747791569342,0.44003455835985933,0.7307692307692307,7.765000000000015,head-level residual equals delta-h residual conditional on observed h_prev,17.320233156811984,10.234172306423904,0.10812529047174024,0.006044132178178896
T1_TEMPORAL_OOS,LE_45,B1,801,129,6.068598978909063,11.44424606546616,-2.3464013631017164,0.718508997429306,6.0000000000000036,head-level residual equals delta-h residual conditional on observed h_prev,11.44424606546616,6.068598978909063,0.0,0.0
T1_TEMPORAL_OOS,LE_45,B1C,801,129,5.838755638779534,11.197140131308284,-1.9530800273044753,0.7172236503856041,6.0000000000000036,head-level residual equals delta-h residual conditional on observed h_prev,11.44424606546616,6.068598978909063,0.02159215493483102,0.037874201430730725
T1_TEMPORAL_OOS,LE_45,B1CH,801,129,5.967302960606491,11.289210690584648,-2.3677444255338824,0.7069408740359897,6.0000000000000036,head-level residual equals delta-h residual conditional on observed h_prev,11.44424606546616,6.068598978909063,0.01354701515457124,0.016691829309304795
T2_SPATIOTEMPORAL_OOS,GT_45_LE_90,B1,397,108,8.823277554111051,15.906773542145473,-2.5567429803639703,0.7316455696202532,9.070000000000022,head-level residual equals delta-h residual conditional on observed h_prev,15.906773542145473,8.823277554111051,0.0,0.0
T2_SPATIOTEMPORAL_OOS,GT_45_LE_90,B1C,397,108,8.86766516564139,15.634202736687898,-1.9490028952119347,0.7974683544303798,9.070000000000022,head-level residual equals delta-h residual conditional on observed h_prev,15.906773542145473,8.823277554111051,0.017135518069418043,-0.0050307395702016144
T2_SPATIOTEMPORAL_OOS,GT_45_LE_90,B1CH,397,108,8.99368486806067,15.734204793806601,-2.5843814596685153,0.7746835443037975,9.070000000000022,head-level residual equals delta-h residual conditional on observed h_prev,15.906773542145473,8.823277554111051,0.010848758730464425,-0.01931338019285378
T2_SPATIOTEMPORAL_OOS,GT_90_LE_120,B1,29,20,10.58164861758571,17.25551898011495,-1.4176759690752967,0.6666666666666666,7.569999999999993,head-level residual equals delta-h residual conditional on observed h_prev,17.25551898011495,10.58164861758571,0.0,0.0
T2_SPATIOTEMPORAL_OOS,GT_90_LE_120,B1C,29,20,10.206459291122636,15.784807807325691,0.8404234802865168,0.7407407407407407,7.569999999999993,head-level residual equals delta-h residual conditional on observed h_prev,17.25551898011495,10.58164861758571,0.08523134971970925,0.035456604166532624
T2_SPATIOTEMPORAL_OOS,GT_90_LE_120,B1CH,29,20,10.415879793373977,15.993228151116572,-0.4403820804008861,0.7037037037037037,7.569999999999993,head-level residual equals delta-h residual conditional on observed h_prev,17.25551898011495,10.58164861758571,0.07315287534689774,0.015665689742923483
T2_SPATIOTEMPORAL_OOS,LE_45,B1,815,134,6.868426450794183,14.407225277035677,-2.465619262087203,0.7032828282828283,6.065,head-level residual equals delta-h residual conditional on observed h_prev,14.407225277035677,6.868426450794183,0.0,0.0
T2_SPATIOTEMPORAL_OOS,LE_45,B1C,815,134,6.736985374018352,14.36459510021793,-2.1227474757251237,0.702020202020202,6.065,head-level residual equals delta-h residual conditional on observed h_prev,14.407225277035677,6.868426450794183,0.00295894427955512,0.01913699996898599
T2_SPATIOTEMPORAL_OOS,LE_45,B1CH,815,134,6.849661501907293,14.41087239715612,-2.545240396625379,0.6679292929292929,6.065,head-level residual equals delta-h residual conditional on observed h_prev,14.407225277035677,6.868426450794183,-0.00025314521362118647,0.0027320593765286505
