regime,model,site_code,n_transitions,n_wells,MAE_delta_h_ft,RMSE_delta_h_ft,bias_delta_h_ft,sign_accuracy_delta_h,delta_h_IQR_ft,note
T1_TEMPORAL_OOS,B1,336557N1179512W001,13,1,2.885797575391771,3.379817399807264,-0.8843934198733905,0.7692307692307693,2.420000000000001,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,336669N1177464W001,6,1,2.8913933646561194,3.713394649734505,-2.8913933646561194,0.8333333333333334,2.422499999999985,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,336672N1179322W001,24,1,2.957573195356946,3.4500261256562186,-0.8100357968540733,0.5833333333333334,1.8249999999999957,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,336684N1177654W001,6,1,7.387461969375988,8.171008942034923,-3.9940745300900216,1.0,13.582499999999996,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,336716N1177529W001,7,1,3.914830929219139,4.399115501083932,-1.4893602736933984,0.42857142857142855,0.2749999999999915,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,336716N1177529W002,7,1,2.5035526873385066,3.0671467105452046,-2.5035526873385066,0.7142857142857143,5.10499999999999,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,336726N1177521W001,6,1,4.60646727431327,4.842405479110699,-3.5540745300900185,0.8333333333333334,5.012499999999989,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,336726N1178014W001,5,1,6.96507384390033,8.402670903904614,-6.032635906868576,0.6,9.299999999999997,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,336746N1177574W001,2,1,6.5305323601181735,7.478768112483582,-6.5305323601181735,0.5,5.200000000000003,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,336749N1179628W001,13,1,2.753723342477375,3.2600331494484283,-1.3128535555061942,0.9230769230769231,3.5,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,336753N1177488W001,6,1,3.881467274313271,4.762548755622795,-3.369074530090021,0.6666666666666666,2.500000000000007,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,336781N1178263W001,13,1,7.031636799243244,8.929911582851624,-2.5730130006575798,0.9230769230769231,14.099999999999996,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,336792N1177457W001,4,1,9.547966948117821,10.347292991589923,-7.505480592909196,0.25,7.7500000000000036,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,336795N1177780W001,10,1,19.992662849586814,29.126265872736088,-3.541425731490584,0.9,18.55,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,336798N1177876W001,6,1,3.332991748929011,3.8950378875144542,-1.821689808193548,0.6666666666666666,1.5600000000000058,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,336798N1177876W002,6,1,23.064879315635753,28.783535717191402,-10.400063718365352,0.8333333333333334,39.39,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,336824N1177430W001,4,1,4.064433873909103,5.259253207778547,-4.064433873909103,0.5,1.8649999999999949,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,336831N1179773W001,7,1,12.164568205695312,14.677040494195147,-4.098305531419372,1.0,25.409999999999993,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,336848N1179242W001,12,1,11.84774661046879,17.299938501381128,-1.085740935089916,0.5,9.207499999999998,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,336853N1177671W001,1,1,5.554105645706374,5.554105645706374,-5.554105645706374,1.0,0.0,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,336853N1179432W001,12,1,4.508524979272362,5.595897882762901,-1.200821080860165,0.75,5.590000000000003,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,336868N1179445W001,11,1,3.9435750761436847,5.374715824285073,-0.8275300542547861,0.8181818181818182,5.934999999999999,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,336870N1178340W001,2,1,61.751042742102804,61.975694618350886,5.272138436164205,0.5,64.5,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,336870N1179436W001,11,1,3.9435750761436847,5.374715824285073,-0.8275300542547861,0.8181818181818182,5.9350000000000005,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,336875N1179148W001,8,1,2.016637580338691,2.1658430236691104,-0.7772054516607725,1.0,4.205,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,336886N1178041W001,7,1,15.592158610815117,18.89991152155165,-5.704550789340475,0.7142857142857143,28.749999999999996,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,336906N1179435W001,13,1,11.382651926851507,14.25263315833419,-3.3148441694962836,0.6923076923076923,13.79000000000002,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,336928N1177446W001,4,1,3.678513449737127,4.4047187892162745,-3.678513449737127,0.75,1.9500000000000242,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,336941N1179435W001,1,1,45.322836964915474,45.322836964915474,-45.322836964915474,1.0,0.0,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,336944N1177985W001,2,1,34.58433230542613,45.705615905905454,-34.58433230542613,0.0,31.0,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,336962N1178987W001,26,1,6.435034659095252,10.590622674295924,-2.24901944687558,0.8461538461538461,9.875000000000004,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,336963N1179065W001,19,1,13.764262233912438,24.395384568353133,-2.5696318713925703,0.8421052631578947,13.449999999999996,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,336966N1179388W001,1,1,4.926997555715204,4.926997555715204,-4.926997555715204,1.0,0.0,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,336977N1178594W001,11,1,11.15393673452468,13.71240885024901,-3.6883105451874956,0.8181818181818182,22.849999999999998,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,336978N1179845W001,4,1,2.84543094667042,3.908141863866546,-0.9559786134667791,0.5,2.3,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,336979N1179454W001,1,1,3.9869975557152206,3.9869975557152206,-3.9869975557152206,1.0,0.0,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337057N1180070W001,13,1,12.258370836997738,13.969834222764215,-3.734313231691586,0.6923076923076923,27.0,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337059N1180056W001,13,1,11.181447760074661,13.326208002482186,-3.734313231691586,0.6923076923076923,24.0,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337105N1178932W001,13,1,16.224196110428203,23.458121896159067,-2.269157738004294,0.6923076923076923,19.71999999999999,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337105N1178932W002,13,1,9.588806191482867,13.171994813499504,-2.0629985882897235,0.8461538461538461,20.53000000000001,head-level residual equals delta-h residual conditional on observed h_prev
