site_code,latitude_numeric,longitude_numeric,easting_m,northing_m,spatial_fold,coordinate_source,input_crs,projected_crs,fold_inputs,k,random_state,n_init
336557N1179512W001,33.655700,-117.951200,411804.357303,3724387.493860,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336621N1178781W001,33.662100,-117.878100,418588.461479,3725037.134963,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336632N1178523W001,33.663200,-117.852300,420981.539670,3725139.075764,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336647N1179672W001,33.664700,-117.967200,410330.114324,3725399.162152,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336669N1177464W001,33.666900,-117.746400,430802.937169,3725473.381346,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336672N1178329W001,33.667200,-117.832900,422783.776983,3725567.918580,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336672N1179322W001,33.667200,-117.932200,413577.605987,3725646.537807,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336674N1178918W001,33.667400,-117.891800,417323.320573,3725635.659564,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336678N1177626W001,33.667800,-117.762600,429301.773905,3725584.134327,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336684N1177654W001,33.668400,-117.765400,429042.681508,3725652.578885,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336689N1178912W001,33.668900,-117.891200,417380.381174,3725801.495579,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336716N1177529W001,33.671560,-117.752860,430207.795880,3725994.406596,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336716N1177529W002,33.671560,-117.752860,430207.795880,3725994.406596,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336722N1179694W001,33.672200,-117.969400,410133.943863,3726232.659764,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336726N1177521W001,33.672600,-117.752100,430279.090825,3726109.204398,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
