regime,cadence_group,model,n_transitions,n_wells,MAE_h_ft,RMSE_h_ft,bias_h_ft,MAE_delta_h_ft,RMSE_delta_h_ft,bias_delta_h_ft,sign_accuracy_delta_h,R2_h_secondary,R2_delta_h_secondary,delta_h_IQR_ft,B0_RMSE_h_ft,B0_MAE_h_ft,B0_RMSE_delta_h_ft,B0_MAE_delta_h_ft,RMSE_skill_vs_persistence,MAE_skill_vs_persistence
T1_TEMPORAL_OOS,LE_45,B0,801,129,6.236292135,12.11512025,-1.848177278,6.236292135,12.11512025,-1.848177278,,0.98268144,-0.02382638261,6,12.11512025,6.236292135,12.11512025,6.236292135,0,0
T1_TEMPORAL_OOS,LE_45,B1,801,129,6.068598979,11.44424607,-2.346401363,6.068598979,11.44424607,-2.346401363,0.7185089974,0.9845463634,0.08642284214,6,12.11512025,6.236292135,12.11512025,6.236292135,0.05537495063,0.02688988141
T1_TEMPORAL_OOS,LE_45,B2,801,129,6.361828939,11.48803647,-2.995168413,6.361828939,11.48803647,-2.995168413,0.7532133676,0.9844278732,0.07941802025,6,12.11512025,6.236292135,12.11512025,6.236292135,0.05176042569,-0.02013003912
T1_TEMPORAL_OOS,LE_45,B3,801,129,6.520268257,11.60274618,-3.241910272,6.520268257,11.60274618,-3.241910272,0.7377892031,0.9841153407,0.0609419463,6,12.11512025,6.236292135,12.11512025,6.236292135,0.04229211607,-0.04553605187
T2_SPATIOTEMPORAL_OOS,LE_45,B0,815,134,6.738871166,14.72100366,-1.829521472,6.738871166,14.72100366,-1.829521472,,0.9755392397,-0.0156877403,6.065,14.72100366,6.738871166,14.72100366,6.738871166,0,0
T2_SPATIOTEMPORAL_OOS,LE_45,B1,815,134,6.868426451,14.40722528,-2.465619262,6.868426451,14.40722528,-2.465619262,0.7032828283,0.9765708892,0.0271495969,6.065,14.72100366,6.738871166,14.72100366,6.738871166,0.0213150128,-0.01922507227
T2_SPATIOTEMPORAL_OOS,LE_45,B2,815,134,8.315567258,15.32861983,-3.992195383,8.315567258,15.32861983,-3.992195383,0.7411616162,0.9734783086,-0.1012640843,6.065,14.72100366,6.738871166,14.72100366,6.738871166,-0.04127545828,-0.233970357
T2_SPATIOTEMPORAL_OOS,LE_45,B3,815,134,8.368522209,15.37275682,-4.231537152,8.368522209,15.37275682,-4.231537152,0.7348484848,0.9733253564,-0.1076151399,6.065,14.72100366,6.738871166,14.72100366,6.738871166,-0.04427369055,-0.2418284908
T1_TEMPORAL_OOS,GT_45_LE_90,B0,388,105,9.57757732,17.33236721,-0.7401546392,9.57757732,17.33236721,-0.7401546392,,0.9419690836,-0.001826929841,9.1075,17.33236721,9.57757732,17.33236721,9.57757732,0,0
T1_TEMPORAL_OOS,GT_45_LE_90,B1,388,105,8.766957609,15.84072642,-2.626519093,8.766957609,15.84072642,-2.626519093,0.7487046632,0.9515276748,0.163189491,9.1075,17.33236721,9.57757732,17.33236721,9.57757732,0.08606099614,0.08463724
T1_TEMPORAL_OOS,GT_45_LE_90,B2,388,105,9.148315641,15.90927026,-3.166341773,9.148315641,15.90927026,-3.166341773,0.7305699482,0.9511072816,0.1559319581,9.1075,17.33236721,9.57757732,17.33236721,9.57757732,0.08210632377,0.04481944277
T1_TEMPORAL_OOS,GT_45_LE_90,B3,388,105,9.346785623,16.02017422,-3.48070714,9.346785623,16.02017422,-3.48070714,0.7331606218,0.9504232406,0.1441228972,9.1075,17.33236721,9.57757732,17.33236721,9.57757732,0.0757076616,0.02409708514
T2_SPATIOTEMPORAL_OOS,GT_45_LE_90,B0,397,108,9.528287154,17.20986517,-0.575440806,9.528287154,17.20986517,-0.575440806,,0.9432391277,-0.001119263119,9.07,17.20986517,9.528287154,17.20986517,9.528287154,0,0
T2_SPATIOTEMPORAL_OOS,GT_45_LE_90,B1,397,108,8.823277554,15.90677354,-2.55674298,8.823277554,15.90677354,-2.55674298,0.7316455696,0.9515093147,0.1447460696,9.07,17.20986517,9.528287154,17.20986517,9.528287154,0.07571771281,0.0739912209
T2_SPATIOTEMPORAL_OOS,GT_45_LE_90,B2,397,108,9.460023823,16.3557332,-3.214099968,9.460023823,16.3557332,-3.214099968,0.7215189873,0.948733442,0.0957866446,9.07,17.20986517,9.528287154,17.20986517,9.528287154,0.04963036968,0.007164281446
T2_SPATIOTEMPORAL_OOS,GT_45_LE_90,B3,397,108,9.569469034,16.45110755,-3.406684586,9.569469034,16.45110755,-3.406684586,0.7215189873,0.9481338026,0.08521051242,9.07,17.20986517,9.528287154,17.20986517,9.528287154,0.04408852807,-0.004322065416
T1_TEMPORAL_OOS,GT_90_LE_120,B0,28,19,10.1325,18.48207867,-0.2132142857,10.1325,18.48207867,-0.2132142857,,0.9700185863,-0.0001331032845,7.765,18.48207867,10.1325,18.48207867,10.1325,0,0
T1_TEMPORAL_OOS,GT_90_LE_120,B1,28,19,10.23417231,17.32023316,-1.587860361,10.23417231,17.32023316,-1.587860361,0.7307692308,0.9736695703,0.1216580185,7.765,18.48207867,10.1325,18.48207867,10.1325,0.06286335744,-0.01003427648
T1_TEMPORAL_OOS,GT_90_LE_120,B2,28,19,11.74348069,17.61830293,-3.125026872,11.74348069,17.61830293,-3.125026872,0.6153846154,0.9727555137,0.09116651707,7.765,18.48207867,10.1325,18.48207867,10.1325,0.04673585491,-0.1589914329
T1_TEMPORAL_OOS,GT_90_LE_120,B3,28,19,11.65423512,17.32412581,-3.631860339,11.65423512,17.32412581,-3.631860339,0.6923076923,0.9736577337,0.1212631669,7.765,18.48207867,10.1325,18.48207867,10.1325,0.06265273998,-0.15018358
T2_SPATIOTEMPORAL_OOS,GT_90_LE_120,B0,29,20,10.12793103,18.25531807,0.1389655172,10.12793103,18.25531807,0.1389655172,,0.9709825253,-5.7950936e-05,7.57,18.25531807,10.12793103,18.25531807,10.12793103,0,0
T2_SPATIOTEMPORAL_OOS,GT_90_LE_120,B1,29,20,10.58164862,17.25551898,-1.417675969,10.58164862,17.25551898,-1.417675969,0.6666666667,0.9740739199,0.1064838433,7.57,18.25531807,10.12793103,18.25531807,10.12793103,0.05476755258,-0.04479864462
T2_SPATIOTEMPORAL_OOS,GT_90_LE_120,B2,29,20,12.64484141,18.4992301,-3.33434067,12.64484141,18.4992301,-3.33434067,0.5925925926,0.9702019314,-0.02696032879,7.57,18.25531807,10.12793103,18.25531807,10.12793103,-0.01336114931,-0.2485118005
T2_SPATIOTEMPORAL_OOS,GT_90_LE_120,B3,29,20,12.39395182,18.27753822,-3.419798812,12.39395182,18.27753822,-3.419798812,0.7037037037,0.9709118429,-0.002493948477,7.57,18.25531807,10.12793103,18.25531807,10.12793103,-0.001217187418,-0.2237397528
