fit_id,regime,gap_threshold_days,held_out_spatial_fold,model,target,feature,coefficient_standardized_scale,training_feature_mean,training_feature_scale,n_training_transitions,n_training_wells,fit_split,training_target_month_min,training_target_month_max,training_independence_classes,validation_used,test_used,hyperparameter_search
T1_TEMPORAL_OOS_G90_FALL_B1,T1_TEMPORAL_OOS,90,,B1,delta_h,INTERCEPT,0.010282244269586108,0.0,1.0,5846,181,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T1_TEMPORAL_OOS_G90_FALL_B1,T1_TEMPORAL_OOS,90,,B1,delta_h,delta_days,-0.7256133271262618,33.10392481088683,19.91235117780614,5846,181,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T1_TEMPORAL_OOS_G90_FALL_B1,T1_TEMPORAL_OOS,90,,B1,delta_h,season_sin,0.15211742431464378,-0.0056110568349230965,0.7102747282034855,5846,181,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T1_TEMPORAL_OOS_G90_FALL_B1,T1_TEMPORAL_OOS,90,,B1,delta_h,season_cos,3.7885453199280237,-0.027315986678187625,0.7033719950271387,5846,181,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T1_TEMPORAL_OOS_G90_FALL_B1,T1_TEMPORAL_OOS,90,,B1,delta_h,time_trend_years,-0.4460778631580496,2.709947188240407,1.3954552943254268,5846,181,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T1_TEMPORAL_OOS_G90_FALL_B2,T1_TEMPORAL_OOS,90,,B2,h_target,INTERCEPT,36.09627009921314,0.0,1.0,5846,181,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T1_TEMPORAL_OOS_G90_FALL_B2,T1_TEMPORAL_OOS,90,,B2,h_target,h_prev,79.4794053329445,36.08598785494355,81.44567311980065,5846,181,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T1_TEMPORAL_OOS_G90_FALL_B2,T1_TEMPORAL_OOS,90,,B2,h_target,delta_days,-0.565411570323427,33.10392481088683,19.91235117780614,5846,181,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T1_TEMPORAL_OOS_G90_FALL_B2,T1_TEMPORAL_OOS,90,,B2,h_target,season_sin,0.3480214777933521,-0.0056110568349230965,0.7102747282034855,5846,181,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T1_TEMPORAL_OOS_G90_FALL_B2,T1_TEMPORAL_OOS,90,,B2,h_target,season_cos,3.747968465457572,-0.027315986678187625,0.7033719950271387,5846,181,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T1_TEMPORAL_OOS_G90_FALL_B2,T1_TEMPORAL_OOS,90,,B2,h_target,time_trend_years,-0.6288077994343334,2.709947188240407,1.3954552943254268,5846,181,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T1_TEMPORAL_OOS_G90_FALL_B3,T1_TEMPORAL_OOS,90,,B3,h_target,INTERCEPT,36.09627009921314,0.0,1.0,5846,181,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T1_TEMPORAL_OOS_G90_FALL_B3,T1_TEMPORAL_OOS,90,,B3,h_target,h_prev,79.51755829293018,36.08598785494355,81.44567311980065,5846,181,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T1_TEMPORAL_OOS_G90_FALL_B3,T1_TEMPORAL_OOS,90,,B3,h_target,delta_days,-0.4046576509071374,33.10392481088683,19.91235117780614,5846,181,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T1_TEMPORAL_OOS_G90_FALL_B3,T1_TEMPORAL_OOS,90,,B3,h_target,season_sin,0.13821442791637487,-0.0056110568349230965,0.7102747282034855,5846,181,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T1_TEMPORAL_OOS_G90_FALL_B3,T1_TEMPORAL_OOS,90,,B3,h_target,season_cos,3.6197188398749987,-0.027315986678187625,0.7033719950271387,5846,181,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T1_TEMPORAL_OOS_G90_FALL_B3,T1_TEMPORAL_OOS,90,,B3,h_target,time_trend_years,-0.7117984083438986,2.709947188240407,1.3954552943254268,5846,181,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T1_TEMPORAL_OOS_G90_FALL_B3,T1_TEMPORAL_OOS,90,,B3,h_target,log1p_interval_mean_discharge_cfs,-3.4751481029130793,5.713790262432437,0.7628977481676519,5846,181,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
