regime,model,gap_threshold_days,n_transitions,n_wells,MAE_h_ft,RMSE_h_ft,bias_h_ft,MAE_delta_h_ft,RMSE_delta_h_ft,bias_delta_h_ft,sign_accuracy_delta_h,R2_h_secondary,R2_delta_h_secondary,delta_h_IQR_ft,B0_RMSE_h_ft,B0_MAE_h_ft,B0_RMSE_delta_h_ft,B0_MAE_delta_h_ft,RMSE_skill_vs_persistence,MAE_skill_vs_persistence
T1_TEMPORAL_OOS,B0,90,1189,139,7.326635828,14.03249673,-1.486602187,7.326635828,14.03249673,-1.486602187,,0.9734500019,-0.01135066746,7.07,14.03249673,7.326635828,14.03249673,7.326635828,0,0
T1_TEMPORAL_OOS,B1,90,1189,139,7.005522112,13.12245116,-2.647809027,7.005522112,13.12245116,-2.647809027,0.7087628866,0.9767820151,0.1155733997,7.07,14.03249673,7.326635828,14.03249673,7.326635828,0.06485271926,0.04382826229
T1_TEMPORAL_OOS,B2,90,1189,139,7.348833548,13.18162854,-3.289259978,7.348833548,13.18162854,-3.289259978,0.7448453608,0.9765721339,0.1075785422,7.07,14.03249673,7.326635828,14.03249673,7.326635828,0.06063555229,-0.003029728811
T1_TEMPORAL_OOS,B3,90,1189,139,7.447276684,13.24833457,-3.427760082,7.447276684,13.24833457,-3.427760082,0.7405498282,0.9763344191,0.09852343737,7.07,14.03249673,7.326635828,14.03249673,7.326635828,0.05588187045,-0.01646606413
T2_SPATIOTEMPORAL_OOS,B0,90,1212,144,7.652566007,15.58009815,-1.418737624,7.652566007,15.58009815,-1.418737624,,0.9684249143,-0.008361419531,6.93,15.58009815,7.652566007,15.58009815,7.652566007,0,0
T2_SPATIOTEMPORAL_OOS,B1,90,1212,144,7.519780881,14.94469963,-2.622955272,7.519780881,14.94469963,-2.622955272,0.7042965459,0.9709478324,0.07220885365,6.93,15.58009815,7.652566007,15.58009815,7.652566007,0.04078270322,0.01735171259
T2_SPATIOTEMPORAL_OOS,B2,90,1212,144,8.713996269,15.668042,-3.875943499,8.713996269,15.668042,-3.875943499,0.7388374052,0.9680674491,-0.01977719642,6.93,15.58009815,7.652566007,15.58009815,7.652566007,-0.005644627233,-0.1387025295
T2_SPATIOTEMPORAL_OOS,B3,90,1212,144,8.738010411,15.69725053,-3.980219452,8.738010411,15.69725053,-3.980219452,0.7320977254,0.9679482801,-0.02358290039,6.93,15.58009815,7.652566007,15.58009815,7.652566007,-0.00751936112,-0.1418405805
T1_TEMPORAL_OOS,B0,120,1217,144,7.391191454,14.15060383,-1.457304848,7.391191454,14.15060383,-1.457304848,,0.9736339257,-0.01071967441,7.03,14.15060383,7.391191454,14.15060383,7.391191454,0,0
T1_TEMPORAL_OOS,B1,120,1217,144,7.024719934,13.15690097,-2.418255538,7.024719934,13.15690097,-2.418255538,0.7285714286,0.9772069345,0.1262483939,7.03,14.15060383,7.391191454,14.15060383,7.391191454,0.07022335343,0.04958219837
T1_TEMPORAL_OOS,B2,120,1217,144,7.374025397,13.21735316,-3.052729055,7.374025397,13.21735316,-3.052729055,0.7428571429,0.9769969981,0.1182006714,7.03,14.15060383,7.391191454,14.15060383,7.391191454,0.06595129624,0.002322502005
T1_TEMPORAL_OOS,B3,120,1217,144,7.539528578,13.31668964,-3.327014452,7.539528578,13.31668964,-3.327014452,0.7352941176,0.9766499356,0.1048963434,7.03,14.15060383,7.391191454,14.15060383,7.391191454,0.05893135026,-0.02006944677
