regime,model,site_code,n_transitions,n_wells,MAE_h_ft,RMSE_h_ft,bias_h_ft,MAE_delta_h_ft,RMSE_delta_h_ft,bias_delta_h_ft,sign_accuracy_delta_h,R2_h_secondary,R2_delta_h_secondary,delta_h_IQR_ft,B0_RMSE_delta_h_ft,B0_MAE_delta_h_ft,well_RMSE_improvement_ft_vs_B0,well_MAE_improvement_ft_vs_B0,well_RMSE_skill_vs_B0,well_MAE_skill_vs_B0
T1_TEMPORAL_OOS,B0,336557N1179512W001,13,1,1.298461538,1.453235118,-0.05384615385,1.298461538,1.453235118,-0.05384615385,,0.5615354413,-0.001374783331,2.42,1.453235118,1.298461538,0,0,0,0
T1_TEMPORAL_OOS,B0,336669N1177464W001,6,1,2.753333333,3.213264176,-1.426666667,2.753333333,3.213264176,-1.426666667,,-3.18335044,-0.2455312624,2.4225,3.213264176,2.753333333,0,0,0,0
T1_TEMPORAL_OOS,B0,336672N1179322W001,24,1,2.020833333,2.750530252,-0.3541666667,2.020833333,2.750530252,-0.3541666667,,0.6906443206,-0.01685945168,1.825,2.750530252,2.020833333,0,0,0,0
T1_TEMPORAL_OOS,B0,336684N1177654W001,6,1,8.68,10.20058005,-2.326666667,8.68,10.20058005,-2.326666667,,-1.851595196,-0.05488100708,13.5825,10.20058005,8.68,0,0,0,0
T1_TEMPORAL_OOS,B0,336716N1177529W001,7,1,0.5771428571,0.693273807,-0.5771428571,0.5771428571,0.693273807,-0.5771428571,,0.6995343259,-2.257732529,0.275,0.693273807,0.5771428571,0,0,0,0
T1_TEMPORAL_OOS,B0,336716N1177529W002,7,1,4.358571429,4.477842274,-1.59,4.358571429,4.477842274,-1.59,,-0.8743473186,-0.1442734761,5.105,4.477842274,4.358571429,0,0,0,0
T1_TEMPORAL_OOS,B0,336726N1177521W001,6,1,4.51,5.62839231,-1.886666667,4.51,5.62839231,-1.886666667,,-2.694191457,-0.1265860999,5.0125,5.62839231,4.51,0,0,0,0
T1_TEMPORAL_OOS,B0,336726N1178014W001,5,1,7.44,8.89179397,-3,7.44,8.89179397,-3,,-8.682570785,-0.1284539849,9.3,8.89179397,7.44,0,0,0,0
T1_TEMPORAL_OOS,B0,336746N1177574W001,2,1,7.3,8.962700486,-7.3,7.3,8.962700486,-7.3,,-8032,-1.970784024,5.2,8.962700486,7.3,0,0,0,0
T1_TEMPORAL_OOS,B0,336749N1179628W001,13,1,2.481538462,3.238815073,-0.5476923077,2.481538462,3.238815073,-0.5476923077,,0.3938768466,-0.02943750274,3.5,3.238815073,2.481538462,0,0,0,0
T1_TEMPORAL_OOS,B0,336753N1177488W001,6,1,3.741666667,4.372381121,-1.701666667,3.741666667,4.372381121,-1.701666667,,-3.120954941,-0.1785020969,2.5,4.372381121,3.741666667,0,0,0,0
T1_TEMPORAL_OOS,B0,336781N1178263W001,13,1,10.46153846,11.98929009,-1.815384615,10.46153846,11.98929009,-1.815384615,,0.559928828,-0.0234651549,14.1,11.98929009,10.46153846,0,0,0,0
T1_TEMPORAL_OOS,B0,336792N1177457W001,4,1,6.25,9.367496998,-5.75,6.25,9.367496998,-5.75,,-14.95454545,-0.6045714286,7.75,9.367496998,6.25,0,0,0,0
T1_TEMPORAL_OOS,B0,336795N1177780W001,10,1,23.11,31.55381118,-4.25,23.11,31.55381118,-4.25,,-0.09803461836,-0.01847673926,18.55,31.55381118,23.11,0,0,0,0
T1_TEMPORAL_OOS,B0,336798N1177876W001,6,1,0.8166666667,0.9708587264,-0.1766666667,0.8166666667,0.9708587264,-0.1766666667,,-0.6748387224,-0.03424690937,1.56,0.9708587264,0.8166666667,0,0,0,0
