model_id,quantity_id,io_role
M_ELEC_CLOSURE,Q_E_FAC,target
M_ELEC_CLOSURE,Q_E_FAC,input
M_ELEC_CLOSURE,Q_WEATHER,input
M_ELEC_CLOSURE,Q_P_IT,output
M_ELEC_CLOSURE,Q_E_IT,output
M_ELEC_CLOSURE,Q_P_FAC,output
M_ELEC_CLOSURE,Q_PUE,output
M_GRAYBOX,Q_WEATHER,input
M_GRAYBOX,Q_P_IT,input
M_GRAYBOX,Q_IT_HEAT,output
M_GRAYBOX,Q_COOL_LOAD,output
M_GRAYBOX,Q_COOLING_MODE,output
M_GRAYBOX,Q_P_COOL,output
M_GRAYBOX,Q_P_FAC,output
M_GRAYBOX,Q_PUE,output
M_GRAYBOX,Q_W_EVAP,output
M_GRAYBOX,Q_THERMAL_STATE,output
M_WATER_SCALE_GLOBAL,Q_W_EVAP,input
M_WATER_SCALE_GLOBAL,Q_W_WITH,target
M_WATER_SCALE_GLOBAL,Q_WATER_PROXY,output
M_WATER_SCALE_ONEBREAK,Q_W_EVAP,input
M_WATER_SCALE_ONEBREAK,Q_W_WITH,target
M_WATER_ENERGY_NULL,Q_E_FAC,input
M_WATER_ENERGY_NULL,Q_W_WITH,target
M_WATER_EVAP_PHYS,Q_W_EVAP,input
M_WATER_EVAP_PHYS,Q_W_WITH,target
M_WATER_TWOCOMP,Q_E_FAC,input
M_WATER_TWOCOMP,Q_W_EVAP,input
M_WATER_TWOCOMP,Q_W_WITH,target
M_STOCHASTIC,Q_ARRIVALS,output
M_STOCHASTIC,Q_EXECUTED,output
M_STOCHASTIC,Q_UTILIZATION,output
M_STOCHASTIC,Q_BACKLOG,output
M_STOCHASTIC,Q_WEATHER,input
M_STOCHASTIC,Q_E_FAC,target
M_STOCHASTIC,Q_P_IT,output
M_STOCHASTIC,Q_P_FAC,output
M_STOCHASTIC,Q_W_EVAP,output
M_STOCHASTIC,Q_W_WITH,target
M_STOCHASTIC,Q_SCOPE2_META,target
M_STOCHASTIC,Q_XI,input
M_EGRID_BENCH,Q_E_FAC,input
M_EGRID_BENCH,Q_SCOPE2_EGRID,output
M_EGRID_BENCH,Q_SCOPE2_META,benchmark
M_PACW_CI,Q_CI_PACW,input
M_PACW_CI,Q_P_FAC,input
M_PACW_CI,Q_SCOPE2_META,target
M_FERC714_BACKCAST,Q_FERC_WEST_MONTHLY,input
M_FERC714_BACKCAST,Q_FERC_EW_HOURLY,input
M_FERC714_BACKCAST,Q_FERC_PACW_HOURLY_PROXY,output
M_FERC714_BACKCAST,Q_GRID_DEMAND,validation
M_FUEL_IMPORT,Q_FUEL_IMPORT_PROXY,output
M_FUEL_IMPORT,Q_GRID_DEMAND,input
M_CHANGEPOINT,Q_E_FAC,input
M_CHANGEPOINT,Q_W_WITH,input
M_CHANGEPOINT,Q_WUE_DIR,input
M_IWA_IDENTITY,Q_IWA_STRFLOW,input
M_IWA_IDENTITY,Q_IWA_CONSUM,input
M_IWA_IDENTITY,Q_IWA_AVAIL,output
M_OWRD_EXTERNAL,Q_CITY_PROD,validation
M_OWRD_EXTERNAL,Q_DIRECT_POD,validation
M_OWRD_EXTERNAL,Q_WATER_PROXY,input
M_OR_GEN_QC,Q_GEN_OR,input
M_OR_GEN_QC,Q_GEN_WATER,input
M_OR_GEN_QC,Q_HEAT_RATE,input
M_GW_SCAFFOLD,Q_CITY_PROD,input
M_GW_SCAFFOLD,Q_DIRECT_POD,input
M_GW_SCAFFOLD,Q_GW_OBS,output
M_EWIF_PARTIAL,Q_GEN_WATER,input
M_EWIF_PARTIAL,Q_E_FAC,input
M_EWIF_PARTIAL,Q_EWIF,output
M_EWIF_PARTIAL,Q_W_IND,output
M_CITY_SERVICE_CLIMATOLOGY,Q_CITY_METER_SERVICE,target
M_CITY_SERVICE_SEASONAL_PERSIST,Q_CITY_METER_SERVICE,target
M_CITY_SERVICE_ELEC_SCALE,Q_CITY_METER_SERVICE,target
M_CITY_SERVICE_ELEC_SCALE,Q_E_FAC,input
M_CITY_SERVICE_GRAYBOX_LEVEL,Q_CITY_METER_SERVICE,target
M_CITY_SERVICE_GRAYBOX_LEVEL,Q_W_EVAP,input
M_CITY_SERVICE_SCALE_EVAP,Q_CITY_METER_SERVICE,target
M_CITY_SERVICE_SCALE_EVAP,Q_E_FAC,input
M_CITY_SERVICE_SCALE_EVAP,Q_W_EVAP,input
M_CITY_SERVICE_GRAYBOX_SHAPE,Q_CITY_METER_SERVICE,validation
M_CITY_SERVICE_GRAYBOX_SHAPE,Q_W_EVAP,input
M_CITY_BOUNDARY_RECONCILE,Q_W_WITH,benchmark
M_CITY_BOUNDARY_RECONCILE,Q_CITY_METER_SERVICE,input
M_CITY_BOUNDARY_RECONCILE,Q_CITY_BULK_WATER,input
