year,meta_annual_withdrawal_m3,city_metered_water_service_m3,residual_meta_minus_service_m3,city_service_share_of_meta,n_bulk_months,bulk_water_bill_month_m3,diagnostic_service_plus_bulk_m3,residual_meta_minus_service_plus_bulk_m3,city_service_plus_bulk_share_of_meta,bulk_complete
2014,39746.823732,5000.407833486912,34746.415898513085,0.1258064761904762,0.0,,,,,False
2016,70000.0,32768.81079102154,37231.18920897846,0.4681258684431648,0.0,,,,,False
2017,172000.0,86354.72146414714,85645.27853585286,0.5020623340938787,0.0,,,,,False
2018,160000.0,120859.23440801549,39140.76559198451,0.7553702150500968,11.0,,,,,False
2019,208000.0,177673.04141759357,30326.958582406427,0.8541973145076615,12.0,19343.50857475322,197016.5499923468,10983.450007653211,0.9471949518862828,True
2020,445000.0,328339.35015353473,116660.64984646528,0.737841236300078,12.0,43067.44236735333,371406.792520888,73593.20747911197,0.834622005664917,True
2021,354000.0,380331.1330745351,-26331.133074535115,1.0743817318489692,12.0,41162.67206516477,421493.8051396999,-67493.80513969989,1.1906604664963274,True
2022,240000.0,239368.33376405243,631.666235947574,0.9973680573502184,12.0,26493.355589755756,265861.6893538082,-25861.68935380818,1.1077570389742006,True
2023,180000.0,164877.54708037537,15122.45291962463,0.915986372668752,12.0,14873.268557088555,179750.81563746394,249.18436253606345,0.9986156424303552,True
2024,328000.0,320966.1553639538,7033.844636046211,0.9785553517193714,12.0,5484.224190512908,326450.3795544667,1549.6204455333063,0.9952755474221544,True
