year,electricity_mwh_reported,electricity_mwh_model_closure,it_energy_mwh_fitted,annual_pue_model,water_raw_m3,water_withdrawal_m3_reported,weather_hour_coverage,water_scale_fitted_train_only,water_pred_m3,water_pct_error,split
2011,71000.0,71000.0,66976.11335479995,1.0600794289731903,1927.418002156189,,1.0,6.580050701752431,12682.508177658101,,train
2012,153000.0,153000.00000000003,144327.06710493902,1.0600922132558475,4967.203837603031,,1.0,6.580050701752431,32684.453097367197,,train
2013,224000.0,224000.00000000006,211297.73684295887,1.0601154718778734,9046.968777168677,,1.0,6.580050701752431,59529.51325094108,,train
2014,262000.0,262000.0000000001,247145.91655409965,1.0601024837998847,9387.715376282122,39746.823732,1.0,6.580050701752431,61771.64314955726,55.41277855574954,train
2015,284000.0,284000.0,267893.6615656901,1.0601221333128124,12175.319399426095,70000.0,1.0,6.580050701752431,80114.21895825367,14.448884226076668,train
2016,327000.0,327000.0,308463.15029626817,1.0600942112078147,11436.002023656241,70000.0,1.0,6.580050701752431,75249.47314100148,7.499247344287827,train
2017,426000.0,426000.0000000001,401830.04327588534,1.0601497004232716,24197.59157128112,172000.0,1.0,6.580050701752431,159221.37939932704,-7.429430581786606,train
2018,488000.0,488000.0000000001,460319.510566454,1.0601332092126259,23209.517961657057,160000.0,1.0,6.580050701752431,152719.80495093716,-4.550121905664273,train
2019,573000.0,573000.0000000002,540513.6236259355,1.0601027891880612,18972.038457609204,208000.0,1.0,6.580050701752431,124836.97496666556,-39.982223573718485,train
2020,686000.0,686000.0,647085.3925490193,1.0601382876187129,33743.65930399196,445000.0,1.0,6.580050701752431,222034.98908292726,-50.10449683529725,train
2021,898409.0,898408.9999999999,847407.3519051638,1.0601855152426667,62387.22828679053,354000.0,1.0,6.580050701752431,410511.12526888517,15.963594708724624,train
2022,982177.0,982177.0000000001,926428.6027927528,1.0601756001910905,62168.01481075611,240000.0,1.0,6.580050701752431,409068.68948207126,70.44528728419635,train
2023,1375321.0,1375321.0000000005,1297291.6212330977,1.0601479092979376,68992.87264796373,180000.0,1.0,6.580050701752431,453976.60008314985,152.2092222684166,holdout
2024,1728291.0,1728291.0000000002,1630206.613208347,1.0601668438815968,104799.33636339879,328000.0,1.0,6.580050701752431,689584.9467811713,110.23931304304001,holdout
