time,day,hour_of_day,grid_price_per_mwh,grid_emissions_kg_per_mwh,grid_water_m3_per_mwh,pue,site_wue_m3_per_mwh_it
0,0,0,34.74299218011643,338.23909157554414,3.3912457076783284,1.25,0.24231772833931373
1,0,1,30.86217899333479,376.24454095587237,3.3281435877315406,1.25,0.2677101411597562
2,0,2,29.259391459594916,384.4186402480886,3.0557361010774287,1.25,0.230892297901671
3,0,3,27.7057763169465,407.05495405690675,2.929845499607163,1.25,0.2197774276342323
4,0,4,23.687402215799906,400.7834484173449,2.863299740207103,1.25,0.2399478660343795
5,0,5,24.146361669893984,351.0622583539308,3.2671966558174694,1.25,0.24691343964428297
6,0,6,20.60264774927926,414.12910808976164,3.514293179410862,1.25,0.2528534522187247
7,0,7,18.70714224362101,379.23931257163173,3.8402989766371136,1.25,0.28466784842128495
8,0,8,26.091617762000755,361.6162967832276,3.748191303533412,1.25,0.34875188567576326
9,0,9,26.526129733981534,352.0469236988559,4.373101385551462,1.25,0.35620217959827966
10,0,10,20.959705442156928,331.29544998959364,4.844565046362493,1.25,0.42022188176075315
11,0,11,24.132654817199708,308.38304917810575,5.54903844638694,1.25,0.43538461173988197
12,0,12,27.132331796012277,318.14967898680953,5.389146210336698,1.25,0.4699650647370757
13,0,13,33.20796803108223,304.6959720456946,6.034441235609848,1.25,0.4529109768152356
14,0,14,35.63969282294896,315.1797936780258,5.628322783678261,1.25,0.48938470615585
15,0,15,36.40424759619202,316.2304244511893,6.112011376316207,1.25,0.5330809159775731
16,0,16,39.09878570173301,313.3086439581555,5.961702536234206,1.25,0.5125969391341613
17,0,17,42.25227604096119,293.537137906805,6.043605236905051,1.25,0.4952226878242447
18,0,18,42.69223529565819,303.38085493277896,5.9875252317057415,1.25,0.45011010508400123
19,0,19,45.50285338001403,299.3595081395504,5.8944843889503975,1.25,0.42960881309019144
20,0,20,45.95123969845251,320.74309453117075,4.5022187971907615,1.25,0.39648146968081355
21,0,21,43.29018090616964,282.5695392482021,4.575531395260778,1.25,0.39016825690653484
22,0,22,38.232495604581786,305.44755415542363,4.557929245078421,1.25,0.3569038143830891
23,0,23,40.784581653678785,342.5430969543512,4.017358310665882,1.25,0.3236245090957713
24,1,0,29.329176825770073,356.85223067868276,3.251989176119388,1.25,0.26986594041268175
25,1,1,30.10767287541114,374.8694525005942,3.2375783555332576,1.25,0.2741915835624083
26,1,2,25.907656980308477,370.44894934193184,3.049189888015882,1.25,0.24244246808117773
27,1,3,27.01767644548757,387.8278594430195,2.8779119819864563,1.25,0.2546919309231719
28,1,4,21.840230353518823,406.8421439607075,2.86566950297085,1.25,0.2392360435631739
29,1,5,17.32561472301344,394.34191003222344,3.191817128009179,1.25,0.2470128611674213
30,1,6,18.983505194788222,371.23519390921496,3.4836201331344117,1.25,0.26861204440916897
31,1,7,19.449758694932154,376.79464590233954,3.4400977178449006,1.25,0.2882802184096421
32,1,8,15.566948480551224,394.9959803546548,4.007974714644673,1.25,0.32181818931686085
33,1,9,17.94709260054335,383.48708768403986,4.1207176060775845,1.25,0.3597031302156655
34,1,10,17.276276422074158,364.1330079854565,4.9855918332440465,1.25,0.40998257360960144
35,1,11,24.652777400499033,342.10501209702784,5.29589651428453,1.25,0.43780511239414044
36,1,12,28.211652602195024,331.8977541351679,5.573296317941721,1.25,0.40894842359652545
37,1,13,32.87699795414426,295.12555148476537,6.081459419144807,1.25,0.4730648584174556
38,1,14,37.851778150647704,286.65159403842875,5.857508774887299,1.25,0.5100686897238822
39,1,15,41.77374360465305,310.7787331988751,6.35401977834836,1.25,0.46933200074947723
40,1,16,37.977904484183114,301.6445103984473,6.492108134543723,1.25,0.4661339865330743
41,1,17,41.33408597129272,295.2269522898965,6.270983949179384,1.25,0.45293562111795577
42,1,18,42.73217070350522,283.78726512976414,5.907661711198355,1.25,0.47835025591276126
43,1,19,46.924094164580225,292.8923147403553,5.397052493370192,1.25,0.4304654882638365
44,1,20,42.64183069147141,309.0951362487217,4.949101090801178,1.25,0.3915933319573299
45,1,21,39.880702872298386,300.18855099352373,4.813761659691274,1.25,0.36173652146982
46,1,22,39.68684186004968,326.7118850084439,4.071339359875408,1.25,0.3235033217527686
47,1,23,38.09619204547566,334.9271111260623,3.769445541080593,1.25,0.31635963280846374
48,2,0,36.13529701292455,348.55128571215715,3.611925846151606,1.25,0.2991159440232808
49,2,1,34.03781316408691,373.53531084548706,3.184820985482625,1.25,0.2431680749562418
50,2,2,23.697909452048414,373.7895370749367,3.0981167217699332,1.25,0.2472065362288194
51,2,3,26.86165159277649,381.4025657031963,3.0470308743862,1.25,0.23844348796425824
52,2,4,20.359797890465966,363.48031317131637,2.8718472007464464,1.25,0.2382233920380985
53,2,5,19.523809754341467,370.18359509540807,3.1556008067626076,1.25,0.2610556865159948
54,2,6,21.084170223923458,385.37696261992323,3.465926401918555,1.25,0.2666274505643383
55,2,7,21.692507397531987,374.02034341296627,3.7659839348529838,1.25,0.29173718428572704
56,2,8,20.76153413956164,380.4398280137825,4.340819163307936,1.25,0.3268786965409923
57,2,9,18.672228444500906,352.53110581292947,4.493288806362719,1.25,0.3225060069030072
58,2,10,23.80756486738559,374.41182610215554,5.302395926665025,1.25,0.38800041219110964
59,2,11,26.898925329161525,338.9447008816786,5.4793338670988865,1.25,0.4357948092820367
60,2,12,32.62127215688075,335.9203817498904,5.870823711184877,1.25,0.48569643549464203
61,2,13,31.666480754088894,315.13207989432834,5.43436197048442,1.25,0.41865537871895003
62,2,14,35.25373406407225,307.420816029834,5.9814557800513235,1.25,0.5065127719662796
63,2,15,33.574317944931636,273.2946813010015,6.135536122357285,1.25,0.45482535798588175
64,2,16,39.38648199501125,272.3733130651063,6.243779786383809,1.25,0.5194122463476096
65,2,17,40.5213954771597,263.1214109886968,5.924952960393795,1.25,0.4828596962186916
66,2,18,40.72973376259421,256.4208642671392,5.586832267392871,1.25,0.44608558303189827
67,2,19,42.21709075767443,280.4726671818157,5.318408047264427,1.25,0.42905618463074985
68,2,20,43.20435781716236,316.5109307794231,4.9520366671167135,1.25,0.3826551346077099
69,2,21,39.440329044306395,280.816221956339,4.660770563458929,1.25,0.3598397252815113
70,2,22,40.40053404210093,328.1837889721976,3.9933043000181137,1.25,0.3313982579617334
71,2,23,36.82700481758563,321.704145217015,3.7795869981522396,1.25,0.31639521008364185
72,3,0,34.38899878735266,357.68882812231317,3.281487654777599,1.25,0.26165841975279336
73,3,1,32.28954497986014,366.03834777156436,3.1208919571709957,1.25,0.2770153232171476
74,3,2,32.67340165343353,381.426514531801,2.9360434819332677,1.25,0.2612702414720336
