job_id,arrival_time,deadline_class,maximum_delay_hours,deadline_time,it_energy_mwh
0,0,flexible_12h,12,12,0.566001520850238
1,0,urgent_0h,0,0,0.06773471733029761
2,0,short_4h,4,4,3.0
3,0,short_4h,4,4,0.4196139765532675
4,0,short_4h,4,4,0.27646774966119736
5,0,urgent_0h,0,0,0.8927218669581779
6,0,short_4h,4,4,0.37720585438816584
7,0,short_4h,4,4,0.3428101926414936
8,0,short_4h,4,4,0.15101683424401616
9,1,flexible_12h,12,13,0.6076163685082321
10,1,urgent_0h,0,1,0.19002258562024069
11,1,urgent_0h,0,1,0.5439002191712132
12,1,flexible_12h,12,13,0.4310556270134505
13,1,short_4h,4,5,0.5751227697399152
14,1,short_4h,4,5,0.45979047829660313
15,1,short_4h,4,5,0.22294578900612413
16,1,urgent_0h,0,1,0.196464485713475
17,1,short_4h,4,5,0.28181828834555367
18,1,flexible_12h,12,13,0.5598480410465935
19,1,short_4h,4,5,0.3311687521446706
20,1,urgent_0h,0,1,0.9479754054980273
21,1,flexible_12h,12,13,0.4107336483090803
22,1,short_4h,4,5,0.3831584020744155
23,2,short_4h,4,6,0.5830916448135892
24,2,urgent_0h,0,2,0.3812108069002337
25,2,short_4h,4,6,0.447119301042553
26,2,short_4h,4,6,0.19724236972000914
27,2,short_4h,4,6,0.40240079866580436
28,2,flexible_12h,12,14,0.22061520694174988
29,2,short_4h,4,6,0.24296900727599144
30,2,short_4h,4,6,0.41894331134079216
31,3,short_4h,4,7,0.9151083594663117
32,3,urgent_0h,0,3,0.20413531578936614
33,3,flexible_12h,12,15,0.21529732224441922
34,3,flexible_12h,12,15,0.4450087221510112
35,3,short_4h,4,7,0.15069481386846426
36,4,urgent_0h,0,4,1.5560046600285915
37,4,short_4h,4,8,0.05808015427568747
38,4,flexible_12h,12,16,0.24826454486917485
39,4,urgent_0h,0,4,0.6609769929445342
40,4,urgent_0h,0,4,0.40734242351742384
41,4,urgent_0h,0,4,0.5275723692515719
42,5,urgent_0h,0,5,0.33012756413525324
43,5,flexible_12h,12,17,0.0798137052611899
44,5,short_4h,4,9,0.1269498192749095
45,5,short_4h,4,9,0.27015382911402036
46,5,short_4h,4,9,0.34425049001004177
47,5,short_4h,4,9,0.30982932707747146
48,5,flexible_12h,12,17,0.6250678887660812
49,6,urgent_0h,0,6,1.6918675239657712
50,6,short_4h,4,10,0.10967839646393603
51,6,urgent_0h,0,6,0.7969113001351488
52,6,short_4h,4,10,0.915004006183778
53,7,urgent_0h,0,7,0.640785159090287
54,7,short_4h,4,11,1.9306051624253624
55,7,flexible_12h,12,19,0.2632412864728298
56,7,short_4h,4,11,0.13016480458915367
57,7,urgent_0h,0,7,0.2245485919848929
58,7,urgent_0h,0,7,1.6385732590820168
59,7,flexible_12h,12,19,0.33997001407464233
60,7,urgent_0h,0,7,0.16458921570151613
61,8,flexible_12h,12,20,0.5495015769320998
62,8,short_4h,4,12,0.42715871492851104
63,8,short_4h,4,12,0.145759786030268
64,8,urgent_0h,0,8,1.0748823493335327
65,8,short_4h,4,12,0.23119036419560798
66,8,flexible_12h,12,20,0.30043233269364034
67,8,short_4h,4,12,0.7788579209866009
68,8,flexible_12h,12,20,0.2598367409166015
69,9,flexible_12h,12,21,0.627754207491016
70,9,flexible_12h,12,21,0.1325235320908866
71,9,urgent_0h,0,9,0.6291042320188208
72,9,short_4h,4,13,0.2099137214445983
73,9,urgent_0h,0,9,0.16515988325032535
74,9,flexible_12h,12,21,0.7068743799413831
75,9,short_4h,4,13,0.10721523640785884
76,9,urgent_0h,0,9,0.5623282772978819
77,9,short_4h,4,13,0.381669055639108
78,9,short_4h,4,13,0.3555151644719511
79,10,urgent_0h,0,10,0.3894911349023485
80,10,short_4h,4,14,0.43993495407765737
81,10,flexible_12h,12,22,0.33641884706991293
82,10,flexible_12h,12,22,1.1016270047571746
83,10,flexible_12h,12,22,0.9353189593144067
84,10,urgent_0h,0,10,0.22245230154645063
85,11,short_4h,4,15,0.2404242738102804
86,11,short_4h,4,15,0.35416297110363665
87,11,flexible_12h,12,23,0.2920259495687525
88,11,urgent_0h,0,11,0.13853349392053665
89,11,short_4h,4,15,0.40316653590314816
90,11,urgent_0h,0,11,0.648223744741969
91,11,short_4h,4,15,0.5174110845127988
92,12,urgent_0h,0,12,0.6042654087830001
93,12,urgent_0h,0,12,0.47697780377535254
94,12,short_4h,4,16,0.1570119401470244
95,12,urgent_0h,0,12,0.36502551524542814
96,12,short_4h,4,16,1.3670372367694685
97,12,urgent_0h,0,12,0.07208284411118182
98,12,urgent_0h,0,12,1.0345849458751841
99,13,short_4h,4,17,0.34676906247280787
100,13,short_4h,4,17,0.5856950388634632
101,13,flexible_12h,12,25,0.16658953296655638
102,13,urgent_0h,0,13,0.3779939798092282
103,13,urgent_0h,0,13,0.3153053721756741
104,13,short_4h,4,17,1.0890632748477431
105,14,short_4h,4,18,0.7242778238753956
106,14,short_4h,4,18,0.07998296694550958
107,14,flexible_12h,12,26,0.5850659431354894
108,14,urgent_0h,0,14,0.3226754164685475
109,14,urgent_0h,0,14,0.2545359216204558
110,15,urgent_0h,0,15,0.21882944583693859
111,15,urgent_0h,0,15,0.2574840047887685
112,15,short_4h,4,19,0.9363089387149718
113,15,short_4h,4,19,0.21140771941231068
114,15,flexible_12h,12,27,0.46210061772580246
115,15,flexible_12h,12,27,0.388364334100967
116,15,short_4h,4,19,0.9842085279528597
117,15,urgent_0h,0,15,0.6745076818095932
118,16,short_4h,4,20,0.5294146283898158
119,16,flexible_12h,12,28,0.24523550933273744
120,16,flexible_12h,12,28,0.2768898362971211
121,16,short_4h,4,20,0.5640015772224573
122,16,flexible_12h,12,28,0.1524352705434769
123,16,urgent_0h,0,16,1.1782376434784432
124,17,short_4h,4,21,0.07008797261075192
125,17,flexible_12h,12,29,0.3837894272998715
126,17,flexible_12h,12,29,0.8928782891626648
127,18,short_4h,4,22,0.26043848183825374
128,18,short_4h,4,22,0.23066529423593857
129,18,short_4h,4,22,0.7821595917013567
130,18,short_4h,4,22,0.09618831344781283
131,18,urgent_0h,0,18,0.5842138799491229
132,18,urgent_0h,0,18,1.259035548945365
133,18,urgent_0h,0,18,0.19419476656215226
134,19,short_4h,4,23,0.8884310906209609
135,19,short_4h,4,23,0.20796605482768948
136,19,flexible_12h,12,31,0.4458563607662332
137,19,urgent_0h,0,19,0.4863898592967052
138,19,short_4h,4,23,0.3964180396750613
139,19,urgent_0h,0,19,0.7018253289089506
140,19,urgent_0h,0,19,0.3931606161284493
141,19,urgent_0h,0,19,0.11124692708644858
142,19,short_4h,4,23,0.48629572430812795
143,19,short_4h,4,23,0.3527074176774501
144,20,urgent_0h,0,20,0.6602210579355487
145,20,short_4h,4,24,0.29673627133963115
146,20,short_4h,4,24,0.32814139159532124
147,20,urgent_0h,0,20,0.06473656873407314
148,20,urgent_0h,0,20,0.5001592589485034
149,20,urgent_0h,0,20,0.39491116350627037
150,20,short_4h,4,24,0.25225341895091824
151,20,urgent_0h,0,20,0.12046887979002155
152,20,flexible_12h,12,32,0.2796137181985735
153,20,short_4h,4,24,0.756002243102229
154,20,urgent_0h,0,20,0.2586092620891837
155,21,short_4h,4,25,0.20975185513430716
156,21,urgent_0h,0,21,0.47516283672981446
157,21,urgent_0h,0,21,0.2591415056508799
158,21,urgent_0h,0,21,0.43339883878156393
159,21,urgent_0h,0,21,0.3107701146502599
160,21,flexible_12h,12,33,0.575953165739667
161,21,short_4h,4,25,3.0
162,21,urgent_0h,0,21,2.0509505494121267
163,21,urgent_0h,0,21,1.297427246109629
164,22,flexible_12h,12,34,0.5702199156000465
165,22,urgent_0h,0,22,0.6272572721097927
166,22,urgent_0h,0,22,0.4803349418985403
167,22,urgent_0h,0,22,0.6139998188306834
