pair,objective_a,objective_b,weight_on_a,total_cost_usd,total_emissions_tco2e,total_water_m3,average_delay_hours
cost_vs_emissions,cost,emissions,0.0,36658.11448213332,346.5858734960846,5546.691300482843,2.2228905459882307
cost_vs_emissions,cost,emissions,0.1,36005.948229828326,346.99921547959457,5543.675041323732,2.1597976476374656
cost_vs_emissions,cost,emissions,0.2,34486.11901390877,349.941792503211,5508.674195563595,2.2748152422797627
cost_vs_emissions,cost,emissions,0.30000000000000004,32228.50876063139,358.31722576826917,5356.751468132592,2.399416536862648
cost_vs_emissions,cost,emissions,0.4,30240.505031149296,369.4147241550861,5123.4947215089305,2.4671426547182875
cost_vs_emissions,cost,emissions,0.5,29915.59233790145,372.1276642610263,5083.979339950908,2.574479314770761
cost_vs_emissions,cost,emissions,0.6000000000000001,29730.46755623717,374.5287388326861,5019.68253086946,2.6333081141639134
cost_vs_emissions,cost,emissions,0.7000000000000001,29651.503098551766,376.0738219454207,4986.085473779278,2.5962402760722147
cost_vs_emissions,cost,emissions,0.8,29615.662771192707,377.2040223210452,4970.256903238608,2.5800964769999104
cost_vs_emissions,cost,emissions,0.9,29610.70195915617,377.55422098647784,4967.59754188296,2.585463037535324
cost_vs_emissions,cost,emissions,1.0,29607.449122152437,378.0382877023894,4948.763041797942,2.5753069639780835
cost_vs_water,cost,water,0.0,32110.710287962396,378.4442123027169,4635.025161298398,2.490521078787486
cost_vs_water,cost,water,0.1,31499.28845702544,379.48433750118454,4640.161843569838,2.461635006785993
cost_vs_water,cost,water,0.2,31235.608018033636,379.8892122546343,4647.675806171939,2.3893542305435282
cost_vs_water,cost,water,0.30000000000000004,30808.329091449,380.56332434404084,4668.985877811283,2.4342142864919345
cost_vs_water,cost,water,0.4,30449.933245403034,380.59239874295827,4696.410574798509,2.5664331024378493
cost_vs_water,cost,water,0.5,30277.959690673233,380.31015450426725,4717.220415544534,2.5876760008606863
cost_vs_water,cost,water,0.6000000000000001,29947.766713108773,379.9814803383207,4777.6872951199675,2.6133142175478246
cost_vs_water,cost,water,0.7000000000000001,29773.40170201717,379.41195999949366,4828.703300789422,2.5767615713509513
cost_vs_water,cost,water,0.8,29662.012993454147,379.06538885604687,4877.628543286227,2.5973811267962956
cost_vs_water,cost,water,0.9,29619.591634056556,378.61683133611575,4917.400332395264,2.5705113812295926
cost_vs_water,cost,water,1.0,29607.449122152437,378.0382877023894,4948.763041797942,2.5753069639780835
emissions_vs_water,emissions,water,0.0,32110.710287962396,378.4442123027169,4635.025161298398,2.490521078787486
emissions_vs_water,emissions,water,0.1,32121.143684218907,378.2572316183531,4635.215124134022,2.4755505807207316
emissions_vs_water,emissions,water,0.2,32114.081442207877,377.60441529896616,4636.9483914923685,2.4676226867378444
emissions_vs_water,emissions,water,0.30000000000000004,32187.01646711253,376.6940759781265,4641.443360335939,2.4723520629900295
emissions_vs_water,emissions,water,0.4,32408.658425724258,374.79997624552516,4655.791113503051,2.413931819297802
emissions_vs_water,emissions,water,0.5,33037.77351009474,370.7490364174267,4705.799140651804,2.4258377389691894
emissions_vs_water,emissions,water,0.6000000000000001,33999.663748507155,364.8488136308598,4812.794711151249,2.5093439231817913
emissions_vs_water,emissions,water,0.7000000000000001,35550.009217671235,355.88542088826927,5059.257387719881,2.1179541172555334
emissions_vs_water,emissions,water,0.8,36448.50358804532,348.7317567623786,5345.310391669351,2.150318312934855
emissions_vs_water,emissions,water,0.9,36641.67504037668,346.84701325732686,5479.880161522767,2.293011786810839
emissions_vs_water,emissions,water,1.0,36658.11448213332,346.5858734960846,5546.691300482843,2.2228905459882307
