scenario_id,normalized_solver_objective,active_weight_sum,average_delay_hours,peak_queue_mwh,total_dc_grid_energy_mwh,site_water_consumption_m3,indirect_grid_water_consumption_m3,heat_rejected_mwh_thermal,weight_electricity_cost_usd,electricity_cost_usd,normalized_electricity_cost_usd,weight_grid_co2e_metric_tons,grid_co2e_metric_tons,normalized_grid_co2e_metric_tons,weight_total_water_footprint_m3,total_water_footprint_m3,normalized_total_water_footprint_m3,weight_delay_mwh_hours,delay_mwh_hours,normalized_delay_mwh_hours,pair_name,metric_1,metric_2,alpha_weight_on_metric_1,one_minus_alpha_weight_on_metric_2,pairwise_nondominated
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,7.364904666299217,1.0,2.280754585818208,26.895439210649656,1068.088549293304,307.60950219647157,4827.760242805733,1068.088549293304,0.0,30345.02185394139,0.11062874528895844,1.0,346.8369197985808,7.364904449164279e-08,0.0,5135.369745002205,0.0,0.0,1538.3024600412186,0.45680534913673615,electricity_cost_usd__vs__grid_co2e_metric_tons,electricity_cost_usd,grid_co2e_metric_tons,0.0,1.0,True
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.05,7.135240384520586,1.0,2.3039303116664613,26.895439210649553,1068.0885492933035,307.60950219647145,4827.760242805733,1068.0885492933035,0.05,30259.093066294125,0.10041844600182355,0.95,346.85059127055877,0.0003725314282018677,0.0,5135.369745002203,0.0,0.0,1553.9338113085973,0.46144919109818433,electricity_cost_usd__vs__grid_co2e_metric_tons,electricity_cost_usd,grid_co2e_metric_tons,0.05,0.95,True
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.10,6.905001543876602,1.0,2.3457359942960245,26.89543921064965,1068.088549293304,307.6095021964715,4827.760242805733,1068.088549293304,0.1,30194.554622735035,0.0927498073266318,0.9,346.87362486849656,0.001000045623290487,0.0,5135.369745002204,0.0,0.0,1582.1305251648969,0.46982601538810304,electricity_cost_usd__vs__grid_co2e_metric_tons,electricity_cost_usd,grid_co2e_metric_tons,0.1,0.9,True
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.15,6.674335041761409,1.0,2.3859385355318445,26.895439210649656,1068.0885492933037,307.60950219647145,4827.760242805733,1068.0885492933037,0.15000000000000002,30142.228465731263,0.08653226675399787,0.85,346.9046167414233,0.0018443705197494652,0.0,5135.369745002205,0.0,0.0,1609.2459668996264,0.47788160981350136,electricity_cost_usd__vs__grid_co2e_metric_tons,electricity_cost_usd,grid_co2e_metric_tons,0.15000000000000002,0.85,True
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.20,6.443443299357861,1.0,2.3995382494256163,27.022378864371277,1068.0885492933035,307.60950219647145,4827.760242805733,1068.0885492933035,0.2,30101.582148351197,0.08170255744779953,0.8,346.94494022241304,0.0029429204199770335,0.0,5135.369745002203,0.0,0.0,1618.4185773456295,0.48060665594397,electricity_cost_usd__vs__grid_co2e_metric_tons,electricity_cost_usd,grid_co2e_metric_tons,0.2,0.8,True
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.25,6.212051618509861,1.0,2.4061269024459007,27.02408377822306,1068.0885492933035,307.6095021964715,4827.760242805733,1068.0885492933035,0.25,29981.62827888196,0.06744930261359382,0.75,347.1051102828458,0.007306502124459595,0.0,5135.369745002205,0.0,0.0,1622.8624316789644,0.4819268589686932,electricity_cost_usd__vs__grid_co2e_metric_tons,electricity_cost_usd,grid_co2e_metric_tons,0.25,0.75,True
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.30,5.979768373747409,1.0,2.4636525416001445,27.79873698282545,1068.088549293304,307.60950219647157,4827.760242805733,1068.088549293304,0.30000000000000004,29935.18244962868,0.06193047905865402,0.7,347.1787478314261,0.009312641467103385,0.0,5135.369745002204,0.0,0.0,1661.6617978083416,0.49345357354551983,electricity_cost_usd__vs__grid_co2e_metric_tons,electricity_cost_usd,grid_co2e_metric_tons,0.30000000000000004,0.7,True
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.35,5.747180897801584,1.0,2.4587663528673196,27.80676356863612,1068.088549293304,307.60950219647145,4827.7602428057335,1068.088549293304,0.35000000000000003,29868.23641996648,0.05397576425757537,0.6499999999999999,347.3258442809522,0.013320053178206037,0.0,5135.369745002205,0.0,0.0,1658.366205992077,0.49247450223540773,electricity_cost_usd__vs__grid_co2e_metric_tons,electricity_cost_usd,grid_co2e_metric_tons,0.35000000000000003,0.6499999999999999,True
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.40,5.514110308423422,1.0,2.481960105704565,27.808932662334207,1068.0885492933035,307.60950219647145,4827.760242805733,1068.0885492933035,0.4,29844.72551869876,0.051182133100586266,0.6,347.3902703837622,0.015075241149997722,0.0,5135.369745002203,0.0,0.0,1674.0097159378536,0.4971219563593602,electricity_cost_usd__vs__grid_co2e_metric_tons,electricity_cost_usd,grid_co2e_metric_tons,0.4,0.6,True
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.45,5.280083411541698,1.0,2.4870930644228366,27.808932662334293,1068.0885492933037,307.6095021964715,4827.760242805733,1068.0885492933037,0.45,29714.462306787405,0.03570389331465905,0.55,347.8021796600429,0.026297062363203637,0.0,5135.369745002205,0.0,0.0,1677.4717469133495,0.4981504742680705,electricity_cost_usd__vs__grid_co2e_metric_tons,electricity_cost_usd,grid_co2e_metric_tons,0.45,0.55,True
